,구분,업체명,전화번호,소재지,인허가번호
0,수입,굿피트,***********,서울특별시 동대문구 답십리동,305000003720200007
1,수입,펫스토어1004,***********,서울특별시 중랑구 중화동,306000003720200004
2,수입,호펫 강아지 고양이 성신여대본점,0507-1306-9216,서울특별시 성북구 동선동3가,307000003720190010
3,수입,도무스 펫샵,***********,서울특별시 은평구 녹번동,311000003720180073
4,수입,디지탈디자인(INTERZOO),02-308-8494,서울특별시 은평구 수색동,311000003720140008
5,수입,주식회사 코리아팩토리,02-2256-7112,서울특별시 서대문구 홍제동,312000003720200004
6,수입,카카오독,***********,서울특별시 강서구 화곡동,315000003720210007
7,수입,수아쿠아,***********,서울특별시 금천구 가산동,317000003720190007
8,수입,베이비몽,02-6180-0986,서울특별시 영등포구 영등포동4가,318000003720200005
9,수입,algok kennel(알곡켄넬),***********,서울특별시 강남구 청담동,322000003720210031
10,수입,썸퍼피,070-7543-5283,서울특별시 강남구 논현동,322000003720210011
11,수입,퍼피랩 익스클루시브,02-540-6030,서울특별시 강남구 청담동,322000003720200026
12,수입 판매,SHIBASLUV,***********,서울특별시 송파구 방이동,323000003720210025
13,수입,몽몽이하우스 잠실롯데월드점,02-6941-1474,서울특별시 송파구 잠실동,323000003720200012
14,수입,펫츠메이트,***********,서울특별시 송파구 잠실동,323000003720190040
15,수입,펫프랜드,***********,서울특별시 송파구 잠실동,323000003720190036
16,수입,코오롱애견,02-485-2248,서울특별시 강동구 성내동,324000003720200008
17,수입 판매,T-Labs(티랩스),***********,부산광역시 부산진구 부암동,329000003720190011
18,수입 판매,스파리버,907-4799,부산광역시 동래구 안락동,330000003720180019
19,수입,아미고펫,051-612-4645,부산광역시 남구 대연동,331000003720200016
20,수입 판매,츄츄독,***********,부산광역시 남구 대연동,331000003720200013
21,수입,부산뱅갈하우스,***********,부산광역시 남구 감만동,331000003720180021
22,수입 판매 미용,b.b pet,-,부산광역시 해운대구 우동,333000003720210002
23,수입,시바스럽,-,부산광역시 해운대구 송정동,333000003720200014
24,수입,펫코스(Pet-cose),051-710-2002,부산광역시 해운대구 중동,333000003720180038
25,수입 판매,스몰펫하우스,***********,부산광역시 사상구 감전동,339000003720200003
26,수입,멕시멈켄넬,***********,부산광역시 기장군 기장읍 내리,340000003720160007
27,수입,벗,053-981-3309,대구광역시 동구 진인동,342000003720190027
28,수입,아리하우스,***********,대구광역시 서구 비산동,343000003720170001
29,수입,AMI PET,***********,인천광역시 중구 중산동,349000003720210020
30,수입,AMI PET CONSULT,***********,인천광역시 중구 중산동,349000003720210017
31,수입 판매,닥스라인 불리 코리아,***********,인천광역시 중구 남북동,349000003720170004
32,수입 판매,서당개30년,***********,인천광역시 중구 신흥동2가,349000003720160006
33,수입,펫？(#)시티,***********,인천광역시 미추홀구 용현동,351050003720210018
34,수입 판매 전시 위탁관리 미용 운송,개떼라떼,***********,인천광역시 미추홀구 도화동,351050003720210010
35,수입,그로우펫,-,인천광역시 미추홀구 주안동,351050003720210001
36,수입 판매,화이트 포메라니안,***********,인천광역시 연수구 옥련동,352000003720160009
37,수입,날라리캣,***********,인천광역시 남동구 만수동,353000003720210015
38,수입,센스퍼피,032-422-9997,인천광역시 남동구 간석동,353000003720200023
39,수입,레니팜,***********,인천광역시 남동구 구월동,353000003720200013
40,수입,제이케이 트레이드,***********,인천광역시 남동구 구월동,353000003720190027
41,수입,로얄플라잉,***********,인천광역시 남동구 만수동,353000003720180024
42,수입,마이펫,-,인천광역시 남동구 만수동,353000003720180015
43,수입,캔디 캣,***********,인천광역시 부평구 십정동,354000003720200019
44,수입,어스펫(US-pet),-,인천광역시 계양구 장기동,355000003720210003
45,수입 판매 미용,퍼피월드,032-551-7896,인천광역시 계양구 장기동,355000003720200017
46,수입,어스펫,***********,인천광역시 계양구 장기동,355000003720200008
