개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명
3170000,3.17E+17,20180410,,1,영업/정상,0,정상,,,,,802-2811,227.32,,서울특별시 금천구 시흥동 904-6 서우빌딩,서울특별시 금천구 시흥대로 172 서우빌딩 (시흥동),8631,더조은 동물의료센터
3040000,3.04E+17,20030926,,1,영업/정상,0,정상,,,,,457-4545,125.4,,서울특별시 광진구 구의동 68-37,서울특별시 광진구 광나루로 507 (구의동),4976,광진동물의료센터
3220000,3.22E+17,20210408,,1,영업/정상,0,정상,,,,,02-2237-7582,,,서울특별시 강남구 청담동 46 베디베로스퀘어,서울특별시 강남구 삼성로133길 7 베디베로스퀘어 5층 (청담동),6068,놀로동물행동클리닉
3090000,3.09E+17,20190410,,1,영업/정상,0,정상,,,,,3491-8000,,,서울특별시 도봉구 방학동 680-1번지 1층,서울특별시 도봉구 도봉로 669 1층 (방학동),1346,현대종합동물병원
3130000,3.13E+17,20000211,,1,영업/정상,0,정상,,,,,02-325-2026,0,,서울특별시 마포구 합정동 411-18번지,서울특별시 마포구 독막로 45 (합정동),4047,홍익동물종합병원
3010000,3.01E+17,20190801,,1,영업/정상,0,정상,,,,,02-6965-7502,0,,서울특별시 중구 을지로5가 133-1번지 뉴천지관광호텔,서울특별시 중구 을지로38길 20 뉴천지관광호텔 2층 (을지로5가),4561,헬릭스동물심장수술센터
3010000,3.01E+17,20190801,,1,영업/정상,0,정상,,,,,02-6956-7502,,,서울특별시 중구 을지로5가 133-1번지 뉴천지관광호텔,서울특별시 중구 을지로38길 20 뉴천지관광호텔 1층 (을지로5가),4561,헬릭스동물암센터
3010000,3.01E+17,20190801,,1,영업/정상,0,정상,,,,,02-6956-7502,,,서울특별시 중구 을지로5가 133-1번지 뉴천지관광호텔,서울특별시 중구 을지로38길 20 뉴천지관광호텔 1층 (을지로5가),4561,서울동물영상종양센터
3100000,3.10E+17,20180403,,1,영업/정상,0,정상,,20191213,20200430,,02-949-0975,0,,서울특별시 노원구 월계동 333-1번지 월계이마트,서울특별시 노원구 마들로3길 15 월계이마트 2층 (월계동),1906,웰니스 동물병원
3220000,3.22E+17,20210904,,1,영업/정상,0,정상,,,,,02-577-7579,,,서울특별시 강남구 개포동 1281 디에이치아너힐즈,서울특별시 강남구 삼성로 11 상가동 103104호 (개포동 디에이치아너힐즈),6327,다랑동물병원
