"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3160000","316000003720210002","20210114","","01","영업/정상","0000","정상","","","","","02-2135-5866","0","","서울특별시 구로구 고척동 50-48","서울특별시 구로구 중앙로10길 7 고척프라자 1층 (고척동)","08218","올리브 동물병원","20210114111729","I","2020-11-30 23:06:00.0","","187798.86926511","444629.704821749","","","","",""
"3150000","315000003720200004","20200109","","01","영업/정상","0000","정상","","","","","02-3663-2559","0","","서울특별시 강서구 마곡동 784-9 마곡오드카운티2차","서울특별시 강서구 강서로 433 마곡오드카운티2차 (마곡동)","07792","레츠개릿","20200813145351","U","2019-12-07 23:05:00.0","","185775","451367","","","","",""
"3150000","315000003720200002","20200109","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강서구 마곡동 784-9 마곡오드카운티2차","서울특별시 강서구 강서로 433 마곡오드카운티2차 (마곡동)","07792","이펫","20200813145913","U","2019-12-07 23:05:00.0","","185775","451367","","","","",""
"3110000","311000003720200016","20200703","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 은평구 갈현동 288-52","서울특별시 은평구 갈현로37가길 13-13 (갈현동)","03317","우리집고양이","20210112114605","U","2020-11-30 23:04:00.0","","192286.960437257","458131.439331831","","","","",""
"3220000","322000003720200027","20200814","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강남구 율현동 217 강남 한신휴플러스 8단지","서울특별시 강남구 밤고개로27길 20 803동 403호 (율현동 강남 한신휴플러스 8단지)","06378","윤명원 펫택시","20200814132627","I","2019-12-07 23:06:00.0","","209678.890637845","440899.498062451","","","","",""
"3210000","321000003720200007","20200814","","01","영업/정상","0000","정상","","","","","02-3481-3123","0","","서울특별시 서초구 서초동 1317-11 강남 누드죤빌딩","서울특별시 서초구 서초대로77길 9 강남 누드죤빌딩 4층 (서초동)","06615","고양이다락방","20200814141248","I","2019-12-07 23:06:00.0","","202249.059734667","444042.044283805","","","","",""
"3220000","322000003720200023","20200703","","01","영업/정상","0000","정상","","","","","02-501-1288","0","","서울특별시 강남구 삼성동 125-6","서울특별시 강남구 테헤란로77길 52 지하1층 (삼성동)","06156","에이컷","20200703161953","I","2019-12-07 00:05:00.0","","204612.079815339","445269.584243204","","","","",""
"3080000","308000003720200007","20200703","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강북구 수유동 166-30 백산빌딩","서울특별시 강북구 도봉로101길 71 백산빌딩 1층 (수유동)","01052","HeyBokdi","20200703112739","I","2019-12-07 00:05:00.0","","202336.408197955","460255.770460941","","","","",""
"3080000","308000003720200008","20200703","","01","영업/정상","0000","정상","","","","","1522-9534","0","","서울특별시 강북구 미아동 198-27 보람빌라트","서울특별시 강북구 솔매로 145-6 401호 (미아동 보람빌라트)","01133","타요펫 모빌리티","20200703133957","I","2019-12-07 00:05:00.0","","202437.778257036","458308.127295436","","","","",""
"3140000","314000003720200023","20200703","","01","영업/정상","0000","정상","","","","","02-2651-8575","0","","서울특별시 양천구 목동 601-6","서울특별시 양천구 목동중앙북로 37 목3동 1층 (목동)","07947","미니주동물병원","20200703163920","I","2019-12-07 00:05:00.0","","188251.309728728","449540.781075325","","","","",""
"3200000","320000003720200010","20200805","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 관악구 봉천동 893-5","서울특별시 관악구 남부순환로 1775 3층 301호 (봉천동)","08758","피에스타","20200805174514","I","2019-12-08 00:07:00.0","","195283.266813797","442213.222789367","","","","",""
"3200000","320000003720200011","20200805","","01","영업/정상","0000","정상","","","","","02-3281-0362","0","","서울특별시 관악구 신림동 504-5","서울특별시 관악구 조원로 128 지층 B101호 (신림동)","08762","두리디엠 (미스미스터펫)","20200805175146","I","2019-12-08 00:07:00.0","","192556.188641041","442554.931625303","","","","",""
"3230000","323000003720200017","20200805","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 송파구 잠실동 188-12","서울특별시 송파구 백제고분로9길 35 (잠실동)","05560","캣통령 잠실점","20200805153524","I","2019-12-08 00:07:00.0","","207269.240524201","445296.122365438","","","","",""
"3160000","316000003720180027","20180917","","01","영업/정상","0000","정상","","","","","0226123232","0","","서울특별시 구로구 오류동 33-1 예성라온팰리스 103동 101호","서울특별시 구로구 경인로 236 예성라온팰리스 103동 101호 (오류동)","08270","오류동물병원","20200805091607","U","2019-12-08 00:07:00.0","","186366.484993847","443886.072158513","","","","",""
"3210000","321000003720200008","20200814","","01","영업/정상","0000","정상","","","","","02-577-7559","0","","서울특별시 서초구 우면동 755 서초디벨리움","서울특별시 서초구 양재대로2길 100-48 서초디벨리움 1층 105호 (우면동)","06767","미독스","20200814165645","I","2019-12-07 23:06:00.0","","201290.205018488","439400.974144411","","","","",""
"3060000","306000003720200007","20200826","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 중랑구 묵동 77-33 봉화빌딩","서울특별시 중랑구 공릉로12나길 12 103호 (묵동 봉화빌딩)","02031","STAR DOG","20200826100852","I","2019-12-07 22:08:00.0","","207106.851857011","457150.305157685","","","","",""
"3060000","306000003720200005","20200826","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 중랑구 면목동 172-112","서울특별시 중랑구 동일로91길 10 1층 (면목동)","02232","댕댕살롱","20200826094926","I","2019-12-07 22:08:00.0","","206916.672817063","453418.254878811","","","","",""
"3060000","306000003720200006","20200826","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 중랑구 면목동 172-112","서울특별시 중랑구 동일로91길 10 1층 (면목동)","02232","댕댕살롱","20200826131126","I","2019-12-07 22:08:00.0","","206916.672817063","453418.254878811","","","","",""
"3060000","306000003720200010","20200826","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 중랑구 신내동 317-6","서울특별시 중랑구 신내로16길 76 107호 (신내동)","02053","내안에너있DOG","20200826134447","I","2019-12-07 22:08:00.0","","208768.62849719","456722.558438482","","","","",""
"3060000","306000003720200008","20200826","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 중랑구 신내동 317-6","서울특별시 중랑구 신내로16길 76 107호 (신내동)","02053","내안에너있DOG","20200826132011","I","2019-12-07 22:08:00.0","","208768.62849719","456722.558438482","","","","",""
"3100000","310000003720200007","20200610","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 노원구 월계동 320-11 월계사슴3단지아파트","서울특별시 노원구 월계로55길 15 301동 8층 807호 (월계동 월계사슴3단지아파트)","01865","멍타펫택시","20200707112545","U","2019-12-07 00:09:00.0","","205199.04912643","458821.008483722","","","","",""
"3100000","310000003720190021","20191104","","03","폐업","0002","폐업","20200707","","","","02-3392-4756","0","","서울특별시 노원구 상계동 456-51","서울특별시 노원구 노원로34길 116 1층 (상계동)","01679","러브펫 멀티펫샵&amp;동물병원","20200707104657","U","2019-12-07 00:09:00.0","","205783.266260826","462416.192647678","","","","",""
"3100000","310000003720190022","20191104","","03","폐업","0002","폐업","20200707","","","","02-3392-4756","0","","서울특별시 노원구 상계동 456-51","서울특별시 노원구 노원로34길 116 1층 (상계동)","01679","러브펫 멀티펫샵&amp;동물병원","20200707105304","U","2019-12-07 00:09:00.0","","205783.266260826","462416.192647678","","","","",""
"3150000","315000003720210016","20210628","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강서구 등촌동 514-9","서울특별시 강서구 등촌로39길 19 2층 (등촌동)","07668","뽀도독","20210628100341","I","2020-12-05 21:00:00.0","","187656.60103175","449270.993135587","","","","",""
"3210000","321000003720200004","20200731","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 서초구 방배동 727-3","서울특별시 서초구 사평대로6길 7 예림빌딩 3층 (방배동)","06575","LAONHAJE(라온하제)","20210628083731","U","2020-12-05 21:00:00.0","","199126.0346688","443951.758823708","","","","",""
"3210000","321000003720180049","20180921","","03","폐업","0002","폐업","20210628","","","","","0","","서울특별시 서초구 방배동 790-16","서울특별시 서초구 방배중앙로 141-2 2층 (방배동)","06560","그루밍캣방배점","20210628151701","U","2020-12-05 21:00:00.0","","198749.447658606","443287.312056758","","","","",""
"3140000","314000003720200028","20200806","","01","영업/정상","0000","정상","","","","","0226928255","0","","서울특별시 양천구 신월동 546-25","서울특별시 양천구 신월로 149 1층 (신월동)","08032","파란동물병원","20200806171529","I","2019-12-08 00:08:00.0","","185810.065888388","446160.866332835","","","","",""
"3220000","322000003720190028","20190404","","01","영업/정상","0000","정상","","","","","02-6053-6052","0","","서울특별시 강남구 일원동 719 푸른마을아파트 상가동 102호","서울특별시 강남구 일원로14길 25 상가동 102호 (일원동 푸른마을아파트)","06356","수정동물병원","20200806094417","U","2019-12-08 00:08:00.0","","207082.852867151","442411.500091131","","","","",""
