,Unnamed: 0,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,위도,경도
0,0,3170000.0,3.17e+17,20180410.0,,1.0,영업/정상,0.0,정상,,,,,802-2811,227.32,,서울특별시 금천구 시흥동 904-6 서우빌딩,서울특별시 금천구 시흥대로 172 서우빌딩 (시흥동),8631.0,더조은 동물의료센터,37.4494769,126.9032992
1,1,3040000.0,3.04e+17,20030926.0,,1.0,영업/정상,0.0,정상,,,,,457-4545,125.4,,서울특별시 광진구 구의동 68-37,서울특별시 광진구 광나루로 507 (구의동),4976.0,광진동물의료센터,37.5451924,127.0859286
2,2,3220000.0,3.22e+17,20210408.0,,1.0,영업/정상,0.0,정상,,,,,02-2237-7582,,,서울특별시 강남구 청담동 46 베디베로스퀘어,서울특별시 강남구 삼성로133길 7 베디베로스퀘어 5층 (청담동),6068.0,놀로동물행동클리닉,37.5119502,127.0991021
3,3,3090000.0,3.09e+17,20190410.0,,1.0,영업/정상,0.0,정상,,,,,3491-8000,,,서울특별시 도봉구 방학동 680-1번지 1층,서울특별시 도봉구 도봉로 669 1층 (방학동),1346.0,현대종합동물병원,37.6641938,127.0422642
4,4,3130000.0,3.13e+17,20000211.0,,1.0,영업/정상,0.0,정상,,,,,02-325-2026,0.0,,서울특별시 마포구 합정동 411-18번지,서울특별시 마포구 독막로 45 (합정동),4047.0,홍익동물종합병원,37.5480536,126.9183675
5,5,3010000.0,3.01e+17,20190801.0,,1.0,영업/정상,0.0,정상,,,,,02-6965-7502,0.0,,서울특별시 중구 을지로5가 133-1번지 뉴천지관광호텔,서울특별시 중구 을지로38길 20 뉴천지관광호텔 2층 (을지로5가),4561.0,헬릭스동물심장수술센터,37.5659043,127.0033344
6,6,3010000.0,3.01e+17,20190801.0,,1.0,영업/정상,0.0,정상,,,,,02-6956-7502,,,서울특별시 중구 을지로5가 133-1번지 뉴천지관광호텔,서울특별시 중구 을지로38길 20 뉴천지관광호텔 1층 (을지로5가),4561.0,헬릭스동물암센터,37.5659043,127.0033344
7,7,3010000.0,3.01e+17,20190801.0,,1.0,영업/정상,0.0,정상,,,,,02-6956-7502,,,서울특별시 중구 을지로5가 133-1번지 뉴천지관광호텔,서울특별시 중구 을지로38길 20 뉴천지관광호텔 1층 (을지로5가),4561.0,서울동물영상종양센터,37.5659043,127.0033344
8,8,3100000.0,3.1e+17,20180403.0,,1.0,영업/정상,0.0,정상,,20191213.0,20200430.0,,02-949-0975,0.0,,서울특별시 노원구 월계동 333-1번지 월계이마트,서울특별시 노원구 마들로3길 15 월계이마트 2층 (월계동),1906.0,웰니스 동물병원,37.6265118,127.0619079
9,9,3220000.0,3.22e+17,20210904.0,,1.0,영업/정상,0.0,정상,,,,,02-577-7579,,,서울특별시 강남구 개포동 1281 디에이치아너힐즈,서울특별시 강남구 삼성로 11 상가동 103104호 (개포동 디에이치아너힐즈),6327.0,다랑동물병원,37.4844006,127.0682439
10,10,3210000.0,3.21e+17,20000711.0,,1.0,영업/정상,0.0,정상,,,,,02-3444-7509,288.16,,서울특별시 서초구 반포동 722-29,서울특별시 서초구 강남대로 525-3 (반포동),6536.0,라파엘동물병원,37.5087505,127.0219251
11,11,3110000.0,3.11e+17,20060126.0,,1.0,영업/정상,0.0,정상,,,,,354-0975,4717.94,,서울특별시 은평구 구산동 1-1번지,서울특별시 은평구 연서로 137 (구산동),3412.0,로얄동물병원,37.6111396,126.9169368
12,12,3080000.0,3.08e+17,20150605.0,,1.0,영업/정상,0.0,정상,,,,,02-984-7588,36.44,,서울특별시 강북구 미아동 1357-6번지 미아프라자 106호,서울특별시 강북구 삼양로27길 35-21 미아프라자 106호 (미아동),1196.0,H 동물병원,37.6179181,127.0188808
13,13,3000000.0,3e+17,20021025.0,,1.0,영업/정상,0.0,정상,,,,,391-4575,46.22,,서울특별시 종로구 홍지동 127-7번지 5통5반 지층 3호,서울특별시 종로구 자하문로 293 (홍지동),3021.0,북악동물병원,37.601247,126.9562041
14,14,3000000.0,3e+17,20060327.0,,1.0,영업/정상,0.0,정상,,,,,3917502,0.0,,서울특별시 종로구 홍지동 126-8번지 ,서울특별시 종로구 자하문로 305 (홍지동),,올리브동물병원,37.599183,126.9607239
16,16,3070000.0,3.07e+17,20090414.0,,1.0,영업/정상,0.0,정상,,,,,953-0075,266.58,,서울특별시 성북구 동소문동6가 3-1 1층,서울특별시 성북구 동소문로 73 1층 (동소문동6가 시티플레이스),2830.0,VIP 동물의료센터,37.5920455,127.0131678
17,17,3210000.0,3.21e+17,20150602.0,,1.0,영업/정상,0.0,정상,,,,,02-2135-9119,1447.31,,서울특별시 서초구 반포동 19-1 르본시티 2층,서울특별시 서초구 신반포로 162 (반포동 르본시티 2층),6546.0,헬릭스동물메디컬센터,37.5049039,127.0022467
18,18,3220000.0,3.22e+17,20210406.0,,1.0,영업/정상,0.0,정상,,,,,02-511-7522,,,서울특별시 강남구 청담동 46 베디베로스퀘어,서울특별시 강남구 삼성로133길 7 베디베로스퀘어 234층 (청담동),6068.0,VIP동물의료센터 청담점,37.5119502,127.0991021
19,19,3200000.0,3.2e+17,20160411.0,,1.0,영업/정상,0.0,정상,,,,,02-887-1575,228.9,,서울특별시 관악구 신림동 10-631,서울특별시 관악구 남부순환로 1678 1 2층 (신림동),8780.0,이로동물의료센터,37.4841897,126.936817
20,20,3060000.0,3.06e+17,20201109.0,,1.0,영업/정상,0.0,정상,,,,,949-7577,0.0,,서울특별시 중랑구 묵동 238-8 하태윤산부인과,서울특별시 중랑구 동일로 925 3층 (묵동),2005.0,치료해 주오,37.6129458,127.076844
34,34,3000000.0,3e+17,20200517.0,,1.0,영업/정상,0.0,정상,,,,,02-733-6030,326.5,,서울특별시 종로구 신교동 70-10번지 ,서울특별시 종로구 자하문로 95 신교빌딩 1층 (신교동),3032.0,선동물병원,37.5542127,127.0114373
35,35,3000000.0,3e+17,19950905.0,,1.0,영업/정상,0.0,정상,,,,,3672-8441,53.7,,서울특별시 종로구 명륜2가 5-99번지 1통3반 방산빌라 402호,서울특별시 종로구 창경궁로 261 (명륜2가),3075.0,대학로동물병원,37.5625637,127.0008558
36,36,3160000.0,3.16e+17,20210906.0,,1.0,영업/정상,0.0,정상,,,,,02-2687-7582,,,서울특별시 구로구 항동 121-1 203 204호,서울특별시 구로구 서해안로 2096 203 204호 (항동),8368.0,클로버 동물병원,37.5612583,127.0147994
37,37,3000000.0,3e+17,20011211.0,,1.0,영업/정상,0.0,정상,,,,,02-744-9098,0.0,,서울특별시 종로구 창신동 80-1,서울특별시 종로구 지봉로 53-1 (창신동),,해동물병원,37.55362520000001,127.0096026
38,38,3000000.0,3e+17,20090708.0,,1.0,영업/정상,0.0,정상,,,,,02-735-7530,45.0,,서울특별시 종로구 내자동 125-3번지 ,서울특별시 종로구 사직로12길 2 (내자동),,누리봄동물병원,37.5502221,127.0104118
39,39,3000000.0,3e+17,20080306.0,,1.0,영업/정상,0.0,정상,,,,,3676-1190,42.58,,서울특별시 종로구 숭인동 52-8번지 ,서울특별시 종로구 지봉로 96-3 (숭인동),,우리동물병원,37.5622705,126.996153
42,42,3000000.0,3e+17,19990423.0,,1.0,영업/정상,0.0,정상,,,,,379-7575,0.0,,서울특별시 종로구 신영동 1-11,서울특별시 종로구 진흥로 477-1 (신영동),3007.0,월드펫동물병원,37.5708733,127.0213284
52,52,3010000.0,3.01e+17,19900925.0,,1.0,영업/정상,0.0,정상,,,,,2274-8558,0.0,,서울특별시 중구 필동2가 53번지 ,서울특별시 중구 퇴계로 226 (필동2가),4624.0,윤신근박사동물병원,37.5354864,127.0065643
53,53,3010000.0,3.01e+17,20110330.0,,1.0,영업/정상,0.0,정상,,,,,2256-7582,46.2,,서울특별시 중구 신당동 373-64번지 ,서울특별시 중구 동호로 178 (신당동),4590.0,웰펫동물병원,37.53600369999999,126.9628655
54,54,3010000.0,3.01e+17,19950512.0,,1.0,영업/정상,0.0,정상,,,,,2278-0075,0.0,,서울특별시 중구 묵정동 32-1번지 ,서울특별시 중구 퇴계로 254-1 (묵정동),4619.0,황동물병원,37.5416691,126.9873793
55,55,3010000.0,3.01e+17,19920212.0,,1.0,영업/정상,0.0,정상,,,,,2237-3366,306.0,,서울특별시 중구 신당동 336-3번지 명덕빌딩 ,서울특별시 중구 다산로 175 명덕빌딩 (신당동),4608.0,바우미우동물병원,37.5355821,126.95312
56,56,3010000.0,3.01e+17,20011226.0,,1.0,영업/정상,0.0,정상,,,,,2233-7574,242.41,,서울특별시 중구 신당동 368-19번지 ,서울특별시 중구 다산로 107 2층 (신당동),4598.0,미래지동물의료센터,37.5417318,126.9613055
57,57,3010000.0,3.01e+17,20020810.0,,1.0,영업/정상,0.0,정상,,,,,2256-8275,0.0,,서울특별시 중구 신당동 844번지 남산타운 ,서울특별시 중구 다산로 32 5상가동 217호 (신당동 남산타운),4595.0,남산동물병원,37.5382047,126.9672214
58,58,3010000.0,3.01e+17,19950802.0,,1.0,영업/정상,0.0,정상,,,,,2263-6134,0.0,,서울특별시 중구 충무로4가 93-1번지 ,서울특별시 중구 퇴계로 227 (충무로4가),4558.0,대한동물병원,37.53559389999999,126.9617775
59,59,3010000.0,3.01e+17,20140620.0,,1.0,영업/정상,0.0,정상,,,,,02-2233-6675,44.77,,서울특별시 중구 신당동 44-17번지 ,서울특별시 중구 다산로36길 83 1층 (신당동),4584.0,좋아요 동물병원,37.5323764,127.0052674
60,60,3010000.0,3.01e+17,20110630.0,,1.0,영업/정상,0.0,정상,,,,,02-393-7588,0.0,,서울특별시 중구 만리동2가 288번지 서울역한라비발디센트럴 ,서울특별시 중구 만리재로 177 105호 (만리동2가 서울역한라비발디센트럴),4501.0,백슬동물병원,37.5303169,126.9713045
61,61,3010000.0,3.01e+17,20190620.0,,1.0,영업/정상,0.0,정상,,,,,02-2234-7585,52.89,,서울특별시 중구 황학동 2545번지 롯데캐슬베네치아 ,서울특별시 중구 청계천로 400 지하 1층 (황학동 롯데캐슬베네치아),4572.0,웰니스클리닉(청계천점),37.5449499,126.9694824
62,62,3010000.0,3.01e+17,20190513.0,,1.0,영업/정상,0.0,정상,,,,,02-2038-7555,91.0,,서울특별시 중구 신당동 102-6번지 ,서울특별시 중구 다산로 230 하나빌딩 1층 (신당동),4585.0,메종동물병원,37.5610393,126.9080869
64,64,3230000.0,3.23e+17,20210906.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 송파구 오금동 95-1 이화빌딩,서울특별시 송파구 중대로 320 이화빌딩 1층 (오금동),5720.0,엘 동물병원,37.5503877,126.9770488
65,65,3020000.0,3.02e+17,20161021.0,,1.0,영업/정상,0.0,정상,,,,,02-792-2561,48.0,,서울특별시 용산구 용산동5가 24번지 파크타워 지하1층 비21호,서울특별시 용산구 서빙고로 67 지하1층 비21호 (용산동5가 파크타워),4385.0,바다동물병원(Bada Animal Hospital),37.533485,127.0016784
66,66,3020000.0,3.02e+17,20131028.0,,1.0,영업/정상,0.0,정상,,,,,02-790-7508,42.75,,서울특별시 용산구 용산동2가 45-1번지 106호 ,서울특별시 용산구 신흥로 54 106호 (용산동2가 북동연립),4339.0,퍼스동물병원,37.5382047,126.9672214
67,67,3020000.0,3.02e+17,20130506.0,,1.0,영업/정상,0.0,정상,,,,,02-797-4408,321.89,,서울특별시 용산구 한남동 657-121번지 지상2층 ,서울특별시 용산구 대사관로 41 지상2층 (한남동),4401.0,동물병원 메이,37.6375688,126.9181915
68,68,3020000.0,3.02e+17,20120620.0,,1.0,영업/정상,0.0,정상,,,,,797-6677,140.4,,서울특별시 용산구 이태원동 531번지 지상12층 ,서울특별시 용산구 녹사평대로 210 지상12층 (이태원동),4345.0,이태원동물병원,37.5396116,126.9895367
70,70,3010000.0,3.01e+17,20160211.0,,1.0,영업/정상,0.0,정상,,,,,02-2232-7975,67.91,,서울특별시 중구 황학동 2523 황학 아크로타워,서울특별시 중구 퇴계로 447 1층 131호 (황학동 황학 아크로타워),4575.0,바른동물병원,37.5186517,126.9738602
71,71,3020000.0,3.02e+17,20120307.0,,1.0,영업/정상,0.0,정상,,,,,707-2235,94.77,,서울특별시 용산구 산천동 202번지 삼성테마트 119호 ,서울특별시 용산구 원효로 51 119호 (산천동 삼성테마트),4359.0,민트동물병원,37.5664017,127.0527262
72,72,3020000.0,3.02e+17,20120118.0,,1.0,영업/정상,0.0,정상,,,,,790-9808,0.0,,서울특별시 용산구 보광동 80-11번지 ,서울특별시 용산구 보광로 22-1 (보광동),4415.0,보광동물병원,37.5476171,127.0131001
73,73,3020000.0,3.02e+17,20120102.0,,1.0,영업/정상,0.0,정상,,,,,794-1255,191.0,,서울특별시 용산구 한남동 707-36번지 한남프라자 2층 ,서울특별시 용산구 한남대로 76 한남프라자 2층 (한남동),4418.0,달래동물의료센터,37.5310395,126.9958021
74,74,3020000.0,3.02e+17,20021230.0,,1.0,영업/정상,0.0,정상,,,,,719-7070,0.0,,서울특별시 용산구 원효로2가 30-4번지 ,서울특별시 용산구 원효로 187 (원효로2가),4364.0,원효종합동물병원,37.5249286,126.9688327
75,75,3020000.0,3.02e+17,20030801.0,,1.0,영업/정상,0.0,정상,,,,,749-8275,0.0,,서울특별시 용산구 용산동2가 45-7번지 ,서울특별시 용산구 신흥로 36-1 (용산동2가),4339.0,한사랑동물병원,37.5435938,127.0491606
76,76,3020000.0,3.02e+17,20110819.0,,1.0,영업/정상,0.0,정상,,,,,706-7975,0.0,,서울특별시 용산구 산천동 93-1번지 ,서울특별시 용산구 효창원로 14 (산천동),4360.0,차오름동물병원,37.5705113,126.9639734
77,77,3020000.0,3.02e+17,20110131.0,,1.0,영업/정상,0.0,정상,,,,,3275-0079,52.63,,서울특별시 용산구 효창동 79-1번지 지상1층 ,서울특별시 용산구 백범로 285 지상1층 (효창동),4318.0,펫동물병원,37.5386876,127.0449142
78,78,3020000.0,3.02e+17,20150206.0,,1.0,영업/정상,0.0,정상,,,,,02-703-0075,66.34,,서울특별시 용산구 원효로1가 133-3번지 리첸시아 용산 B동 113114호 ,서울특별시 용산구 백범로 341 B동 지상1층 113114호 (원효로1가 리첸시아 용산),4315.0,좋아서하는 동물병원,37.5658389,127.0296943
79,79,3020000.0,3.02e+17,20021227.0,,1.0,영업/정상,0.0,정상,,,,,3273-0075,0.0,,서울특별시 용산구 원효로2가 84-10번지 신영빌딩 ,서울특별시 용산구 원효로 171 신영빌딩 (원효로2가),4364.0,열린동물종합병원,37.5695572,127.031966
80,80,3020000.0,3.02e+17,20021227.0,,1.0,영업/정상,0.0,정상,,,,,793-9230,0.0,,서울특별시 용산구 한남동 642-4번지 ,서울특별시 용산구 대사관로24길 28 (한남동),4402.0,한남동물병원,37.548461,127.0672136
81,81,3020000.0,3.02e+17,20021223.0,,1.0,영업/정상,0.0,정상,,,,,749-6750,0.0,,서울특별시 용산구 보광동 259-1번지 용호빌딩 202호 203호 ,서울특별시 용산구 보광로 46 용호빌딩 지상2층 202203호 (보광동),4414.0,21세기동물병원,37.5569482,127.0403161
82,82,3020000.0,3.02e+17,20190419.0,,1.0,영업/정상,0.0,정상,,,,,02-719-8275,,,서울특별시 용산구 청파동2가 90-20번지 지상1층 ,서울특별시 용산구 청파로47길 16 지상1층 (청파동2가),4309.0,원스동물병원,37.5695572,127.031966
84,84,3130000.0,3.13e+17,20210526.0,,1.0,영업/정상,0.0,정상,,,,,02-376-7675,,,서울특별시 마포구 성산동 151-6,서울특별시 마포구 월드컵북로 218 2층 (성산동),3941.0,키다리 동물병원,37.5422885,127.0181535
124,124,3020000.0,3.02e+17,20021223.0,,1.0,영업/정상,0.0,정상,,,,,711-4527,0.0,,서울특별시 용산구 효창동 70-11번지 ,서울특별시 용산구 백범로 293 (효창동),4317.0,효창동물병원,37.5320448,127.078797
