,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총인원,위도,경도
0,3130000.0,3.1300000132021e+17,20210120.0,,1.0,영업/정상,0.0,정상,,,,,,,,서울특별시 마포구 망원동 394-118,서울특별시 마포구 희우정로10길 28 (망원동),4017.0,네오스마트바이,20210120095625.0,I,2020-11-30 22:02:00.0,,191578.189539451,450099.587238227,,,,,,37.5530941,126.9054686
1,3200000.0,3.2000000132021e+17,20210120.0,,1.0,영업/정상,0.0,정상,,,,,,,,서울특별시 관악구 신림동 1730 신림푸르지오아파트 상가동,서울특별시 관악구 남부순환로 1430 상가동 지층 비101-4호 (신림동 신림푸르지오아파트),8770.0,나스티스,20210120093431.0,I,2020-11-30 22:02:00.0,,192012.500669524,441885.529640794,,,,,,37.4792665,126.9103675
2,3210000.0,3.2100000132013e+17,20130409.0,,1.0,영업/정상,0.0,정상,,,,,,,,서울특별시 서초구 잠원동 46-9번지 303호,서울특별시 서초구 신반포로43길 11-11 303호 (잠원동),6532.0,(주)유유엠,20130409175349.0,I,2018-08-31 23:59:59.0,,201458.787242306,445354.452726228,동물용의료용구판매업,,,L00,,37.5103689,127.0172721
3,3210000.0,3.2100000132014e+17,20140729.0,,1.0,영업/정상,0.0,정상,,,,,,,,서울특별시 서초구 서초동 1556-2번지 ,서울특별시 서초구 반포대로28길 43 (서초동),6646.0,(주)아이센스,20140729104716.0,I,2018-08-31 23:59:59.0,,200870.864125104,443255.166862297,동물용의료용구판매업,,,L00,,37.4913243,127.0106859
4,3210000.0,3.2100000132002003e+17,20021204.0,,1.0,영업/정상,0.0,정상,,,,,595-6030,76.0,,서울특별시 서초구 양재동 275-2   번지 윈드스톤호피스텔 702호,,,(주)렉스팩인터내셔널,20030226164442.0,I,2018-08-31 23:59:59.0,,,,동물용의료용구판매업,,,L00,,36.12707109999999,-79.86071799999999
5,3210000.0,3.2100000132009e+17,20090226.0,,1.0,영업/정상,0.0,정상,,,,,525-1981,56.0,,서울특별시 서초구 서초동 1588-3번지 로젠빌딩 1203호 ,서울특별시 서초구 효령로55길 27 (서초동로젠빌딩 1203호),,(주)씨엘에이인터내셔날,20100716170232.0,I,2018-08-31 23:59:59.0,,201181.222272927,442647.574925514,동물용의료용구판매업,,,L00,,37.4859772,127.0140966
6,3210000.0,3.2100000132010003e+17,20100312.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 서초구 방배동 752-36 B108호호,,,데니스테크,20100312144759.0,I,2018-08-31 23:59:59.0,,,,동물용의료용구판매업,,,000,,36.12707109999999,-79.86071799999999
7,3210000.0,3.2100000132011e+17,20111103.0,,1.0,영업/정상,0.0,정상,,,,,572-7896,,,서울특별시 서초구 서초동 1445-13번지 쌍용프래티넘 417호 ,서울특별시 서초구 서초중앙로 18 (서초동),6720.0,(주)둘리정보통신,20111103142556.0,I,2018-08-31 23:59:59.0,,201463.690299789,442429.147525901,동물용의료용구판매업,,,000,,37.4915922,127.0157198
8,3210000.0,3.2100000131988e+17,19881105.0,,1.0,영업/정상,0.0,정상,,,,,588-9371,0.0,,서울특별시 서초구 서초동 1516-4번지 3층 ,서울특별시 서초구 명달로 90 3층 (서초동),6668.0,세중무역상사,20111030145814.0,I,2018-08-31 23:59:59.0,,200300.406596622,442570.120309754,동물용의료용구판매업,,,000,,37.4852841,127.0041972
9,3210000.0,3.2100000131998e+17,19980612.0,,1.0,영업/정상,0.0,정상,,,,,547-0672,0.0,,서울특별시 서초구 잠원동 26-4   번지 5층 ,,,한국 IMV,20021217105628.0,I,2018-08-31 23:59:59.0,,,,동물용의료용구판매업,,,000,,36.12707109999999,-79.86071799999999
10,3040000.0,3.0400000132021e+17,20210906.0,,1.0,영업/정상,0.0,정상,,,,,02-469-7300,,,서울특별시 광진구 화양동 **-* 동신빌딩,서울특별시 광진구 아차산로 *** 동신빌딩 지하 *층 (화양동),5020.0,태산약품,20210906095742.0,I,2020-12-09 00:08:00.0,,205687.675941036,448867.440516076,,,,,,37.5420116,127.0650728
11,3210000.0,3.2100000132016e+17,20160531.0,,1.0,영업/정상,0.0,정상,,,,,02-573-9669,,,서울특별시 서초구 양재동 358-6번지 광산빌딩 ,서울특별시 서초구 강남대로6길 66-18 (양재동 광산빌딩),6789.0,베트컴코리아(주),20160531143021.0,I,2018-08-31 23:59:59.0,,203899.648568982,440629.337291334,동물용의료용구판매업,,,L00,,37.467779,127.0448605
12,3210000.0,3.2100000132016e+17,20160531.0,,1.0,영업/정상,0.0,정상,,,,,02-573-9669,,,서울특별시 서초구 양재동 358-6번지 광산빌딩 ,서울특별시 서초구 강남대로6길 66-18 (양재동 광산빌딩),6789.0,베트컴코리아(주),20160531152442.0,I,2018-08-31 23:59:59.0,,203899.648568982,440629.337291334,동물용의료용구판매업,,,L00,,37.467779,127.0448605
13,3210000.0,3.210000013202e+17,20200511.0,,1.0,영업/정상,0.0,정상,,,,,02-6949-3038,,,서울특별시 서초구 반포동 739-32번지 제이디 빌딩 ,서울특별시 서초구 강남대로79길 32 제이디 빌딩 1층 (반포동),6542.0,브이케어동물병원,20200511165516.0,I,2020-05-13 00:23:20.0,,201907.192235434,444731.440860365,동물용의료용구판매업,,,000,,37.504631,127.0224878
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.12707109999999,-79.86071799999999
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4833536,126.8965156
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4875939,127.1191731
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5126188,127.0574169
18,3210000.0,3.2100000131995e+17,19951027.0,,1.0,영업/정상,0.0,정상,,,,,587-1388,0.0,,서울특별시 서초구 원지동 312-3 솔향빌딩 2층 1호,,,(주)중앙진테크,20210623130402.0,U,2020-12-05 22:05:00.0,,,,,,,,,37.4855458,127.0391047
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5036695,127.0253109
20,3160000.0,3.1600000132021e+17,20210120.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 구로구 구로동 222-7 코오롱디지털타워빌란트 607호,서울특별시 구로구 디지털로32길 30 코오롱디지털타워빌란트 607호 (구로동),8390.0,더가가,20210120165240.0,I,2020-11-30 22:02:00.0,,190776.468544178,442370.143700207,,,,,,37.4990162,127.029877
21,3230000.0,3.2300000132021e+17,20210120.0,,1.0,영업/정상,0.0,정상,,,,,,,,서울특별시 송파구 문정동 642 송파 테라타워2,서울특별시 송파구 송파대로 201 송파 테라타워2 B동 1515-2호 (문정동),5854.0,굿파인더,20210120141602.0,I,2020-11-30 22:02:00.0,,210627.0,442875.0,,,,,,37.5156314,127.0210152
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5104281,127.1127462
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4990162,127.029877
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4989329,127.029522
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.466266,127.1167873
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5263575,127.0305221
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5061905,127.0327509
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.12707109999999,-79.86071799999999
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5124721,127.0651404
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5047286,127.0512518
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5252175,127.0472183
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5316223,126.9706657
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5316223,126.9706657
34,3220000.0,3.2200000132019e+17,20191128.0,,1.0,영업/정상,0.0,정상,,,,,02-3484-9723,,,서울특별시 강남구 삼성동 159번지 코엑스인터콘티넨탈서울 ,서울특별시 강남구 봉은사로 524 코엑스인터콘티넨탈서울 지하2층 (삼성동),6164.0,(주)호텔롯데 롯데면세점 코엑스점,20191128100253.0,I,2019-11-30 00:23:27.0,,205130.591678902,445590.096837802,동물용의료용구판매업,,,L00,,37.4871856,127.1026541
35,3220000.0,3.220000013202e+17,20200107.0,,1.0,영업/정상,0.0,정상,,,,,070-4239-3077,,,서울특별시 강남구 도곡동 909-3번지 한독빌딩 4001호,서울특별시 강남구 남부순환로 2645 한독빌딩 4층 4001호 (도곡동),6271.0,비욘드월드 주식회사,20200107131938.0,I,2020-01-09 00:23:25.0,,203390.902472016,442601.789760193,동물용의료용구판매업,,,L00,,37.499294,127.0331883
