,사업장명,주소,위도,경도
0,테이블에이 본점,서울 마포구 와우산로 146 그레이스빌딩 1층,37.5540614,126.9295168
1,다온펫샵,서울 마포구 신촌로14길 20 태인빌딩 1층,37.555195,126.9333484
2,애디앤루이스,서울 마포구 성미산로 160 1층,37.56445431,126.9240029
3,폴리파크 홍대점,서울 마포구 동교로 192-1,37.55726708,126.9227829
4,개밥하우스 마포점,서울 마포구 월드컵북로 109,37.56290229,126.9135778
5,스프링펫 동교본점,서울 마포구 양화로 189,37.55861012,126.925755
6,펫하우스,서울 마포구 월드컵로 149 1층,37.56096557,126.9053181
7,크루마이즈,서울 마포구 마포대로4라길 30-5 1층,37.53698408,126.9461912
8,망원휴개소,서울 마포구 희우정로 77,37.55314381,126.9027403
9,펫다이어리,서울 마포구 방울내로 44,37.5589138,126.9006823
10,도기랑냥이랑 합정점,서울 마포구 독막로 17-1,37.54872229,126.9155522
11,강아지미용실왕왕,서울 마포구 마포대로11길 92 1층,37.54891874,126.949292
12,페스룸,서울 마포구 양화로11길 12 현담빌딩 1층,37.55208624,126.916166
13,오마이리틀베이비,서울 마포구 포은로2가길 6 2층,37.55137532,126.9077747
14,펫고리,서울 마포구 성미산로29길 30-3 지하1층,37.56549666,126.9221874
15,몽냥몽냥,서울 마포구 양화로 122 1층,37.55407205,126.9206039
16,반려독,서울 마포구 망원로1길 22 장수필하우스 1층 102호,37.55739272,126.9000266
17,꼬떼아꼬떼,서울 마포구 월드컵로11길 74,37.55379198,126.9069739
18,장보는강아지와고양이 롯데슈퍼 마포점,서울 마포구 토정로 193,37.54583616,126.9325594
19,마이펫글리,서울 마포구 성미산로1길 5,37.55839,126.9085426
20,베라펫,서울 마포구 홍익로3길 7 104호,37.55397916,126.922242
21,오복파티,서울 마포구 성미산로26길 37 102호,37.56230731,126.9234265
22,멍이방앗간,서울 마포구 포은로 37,37.55082117,126.9073843
23,강아지고양이편의점 연남점,서울 마포구 동교로46길 40,37.56215623,126.926723
24,바이도기,서울 마포구 와우산로21길 21-16 아트코빌딩 2층,37.55168391,126.9221709
25,펫모아 마포점,서울 마포구 신촌로 254,37.55702594,126.9539721
26,도그원펫센터 망원점,서울 마포구 월드컵로13길 9,37.55558685,126.909751
27,강아지고양이편의점 망원점,서울 마포구 포은로 65,37.55312639,126.9061471
28,팀버울프코리아,서울 마포구 성산로2길 45 2층,37.56303188,126.9050537
29,우프바이베럴즈 합정점,서울 마포구 월드컵로3길 14 딜라이트스퀘어 B동 지하1층,37.55100797,126.911649
30,펫타운,서울 마포구 월드컵로25길 69,37.55760967,126.9039155
31,하니펫아지천국,서울 마포구 월드컵로25길 48 1층,37.55805242,126.9050324
32,씨엘펫애완용품,서울 마포구 창전로 48-1,37.54666851,126.9325756
33,러브펫,서울 마포구 포은로 88,37.55488858,126.9053904
34,루이비독,서울 마포구 망원로 49 지하 1층,37.55693668,126.9022308
