,사업장명,주소,위도,경도
0,카페로뎀,서울 서대문구 연희로28길 3,37.5746197,126.935853
1,카페프롬나즈데떼,서울 양천구 오목로 300 206동상가 1층,37.5248304,126.8700225
2,카페미우,서울 용산구 새창로14길 7 1층,37.53918497,126.9585163
3,카페별뜨락,서울 종로구 창의문로 119,37.59209694,126.9670686
4,반하다카페,서울 종로구 자하문로 35-3,37.57904361,126.9711581
5,카페 바로,서울 은평구 통일로 1030 은평 헤스티아 B102호,37.63419225,126.9176955
6,겨울이머무는집,서울 마포구 와우산로17길 19-5,37.54995731,126.9218645
7,그냥방실,서울 마포구 희우정로20길 71 와와모빌딩 1층 102호,37.55625968,126.9042201
8,할리스 공덕경의선숲길점,서울 마포구 백범로28길 22 일양빌딩 신관 1층,37.54460377,126.9466462
9,55라이트,서울 마포구 희우정로 58 1층,37.55172238,126.9056099
10,나만믿개,서울 마포구 성암로15길 34 2층,37.57734677,126.8961294
11,쿄로쿄로,서울 마포구 대흥로6길 7,37.5429118,126.9387092
12,모카하라,서울 마포구 희우정로 46-15,37.5516128,126.9068278
13,꽃개,"서울 서대문구 연희동 190-21 지하, 1층",37.56669162,126.9284054
14,에어플레인모드,"서울 서대문구 연세로4길 36 2, 3층",37.56669162,126.9284054
15,나카산,서울 영등포구 당산로41길 28 1층 102호,37.53232009,126.8968961
16,애크미 두번째공간,서울 강서구 공항대로48길 13 1층,37.55411309,126.8553251
17,지금 동구,서울 은평구 연서로5길 15,37.60391433,126.9137044
18,카페일월십일,"서울 양천구 목동중앙남로9길 41 1층 101,102호",37.53787136,126.8641467
19,에크미,서울 강서구 화곡로61길 100,37.55844423,126.8470036
20,다용도실,서울 은평구 연서로20길 17 1층,37.61409771,126.919896
21,무드오더,서울 강서구 곰달래로56길 19 1층,37.5311075,126.8609321
22,퀸즈브라운 우장산점,서울 강서구 강서로47가길 20-10,37.5518443,126.8351246
23,레이첼티,서울 서대문구 북아현로1길 50 1층,37.55969,126.9528112
24,서드팩토리,서울 강서구 강서로15길 18 1층,37.53253302,126.8449756
25,슬로우포레스트,서울 종로구 삼청로5길 20,37.58281605,126.9807801
26,마실거리,서울 양천구 곰달래로 26,37.52973766,126.8354508
27,신월커피,서울 양천구 남부순환로58길 27-1,37.52954409,126.831206
28,오슬로우 마곡나루점,서울 강서구 마곡중앙로 161-22 마곡일성트루엘플래닛 1층 121호,37.56863834,126.8257851
29,이딧,"서울 용산구 한강대로40길 14 지하1층, 1, 2층",37.53014662,126.9699695
30,서서울,서울 양천구 남부순환로58길 33 105호,37.52917527,126.8313073
31,페일 커피,서울 용산구 소월로20길 78 1층,37.54359478,126.9838324
32,카페 플랫,서울 용산구 녹사평대로46길 33,37.5375871,126.9885281
34,버클리커피소셜,서울 용산구 회나무로13가길 17,37.54097919,126.9905397
35,지프리제,서울 용산구 소월로44길 38,37.54138577,126.9925794
36,글리츠커피,서울 중구 퇴계로74길 21,37.56423765,127.014666
37,도그팰리스,서울 은평구 대서문길 36,37.65547098,126.9485528
39,빌리디언리프 스타필드고양점,경기 고양시 덕양구 고양대로 1955 지하 1층,37.64697712,126.8947781
