,address,type,시군구,address,type
0,서울특별시 금천구 시흥대로 172 서우빌딩 (시흥동),동물병원,금천구,,
1,서울특별시 광진구 광나루로 507 (구의동),동물병원,광진구,,
2,서울특별시 강남구 삼성로133길 7 베디베로스퀘어 5층 (청담동),동물병원,강남구,,
3,서울특별시 도봉구 도봉로 669 1층 (방학동),동물병원,도봉구,,
4,서울특별시 마포구 독막로 45 (합정동),동물병원,마포구,,
5,서울특별시 중구 을지로38길 20 뉴천지관광호텔 2층 (을지로5가),동물병원,중구,,
6,서울특별시 중구 을지로38길 20 뉴천지관광호텔 1층 (을지로5가),동물병원,중구,,
7,서울특별시 중구 을지로38길 20 뉴천지관광호텔 1층 (을지로5가),동물병원,중구,,
8,서울특별시 노원구 마들로3길 15 월계이마트 2층 (월계동),동물병원,노원구,,
9,서울특별시 강남구 삼성로 11 상가동 103104호 (개포동 디에이치아너힐즈),동물병원,강남구,,
10,서울특별시 서초구 강남대로 525-3 (반포동),동물병원,서초구,,
11,서울특별시 은평구 연서로 137 (구산동),동물병원,은평구,,
12,서울특별시 강북구 삼양로27길 35-21 미아프라자 106호 (미아동),동물병원,강북구,,
13,서울특별시 종로구 자하문로 293 (홍지동),동물병원,종로구,,
14,서울특별시 종로구 자하문로 305 (홍지동),동물병원,종로구,,
15,서울특별시 성북구 동소문로 73 1층 (동소문동6가 시티플레이스),동물병원,성북구,,
16,서울특별시 서초구 신반포로 162 (반포동 르본시티 2층),동물병원,서초구,,
17,서울특별시 강남구 삼성로133길 7 베디베로스퀘어 234층 (청담동),동물병원,강남구,,
18,서울특별시 관악구 남부순환로 1678 1 2층 (신림동),동물병원,관악구,,
19,서울특별시 중랑구 동일로 925 3층 (묵동),동물병원,중랑구,,
20,서울특별시 종로구 자하문로 95 신교빌딩 1층 (신교동),동물병원,종로구,,
21,서울특별시 종로구 창경궁로 261 (명륜2가),동물병원,종로구,,
22,서울특별시 구로구 서해안로 2096 203 204호 (항동),동물병원,구로구,,
23,서울특별시 종로구 지봉로 53-1 (창신동),동물병원,종로구,,
24,서울특별시 종로구 사직로12길 2 (내자동),동물병원,종로구,,
25,서울특별시 종로구 지봉로 96-3 (숭인동),동물병원,종로구,,
26,서울특별시 종로구 진흥로 477-1 (신영동),동물병원,종로구,,
27,서울특별시 중구 퇴계로 226 (필동2가),동물병원,중구,,
28,서울특별시 중구 동호로 178 (신당동),동물병원,중구,,
29,서울특별시 중구 퇴계로 254-1 (묵정동),동물병원,중구,,
30,서울특별시 중구 다산로 175 명덕빌딩 (신당동),동물병원,중구,,
31,서울특별시 중구 다산로 107 2층 (신당동),동물병원,중구,,
32,서울특별시 중구 다산로 32 5상가동 217호 (신당동 남산타운),동물병원,중구,,
33,서울특별시 중구 퇴계로 227 (충무로4가),동물병원,중구,,
34,서울특별시 중구 다산로36길 83 1층 (신당동),동물병원,중구,,
35,서울특별시 중구 만리재로 177 105호 (만리동2가 서울역한라비발디센트럴),동물병원,중구,,
36,서울특별시 중구 청계천로 400 지하 1층 (황학동 롯데캐슬베네치아),동물병원,중구,,
37,서울특별시 중구 다산로 230 하나빌딩 1층 (신당동),동물병원,중구,,
38,서울특별시 송파구 중대로 320 이화빌딩 1층 (오금동),동물병원,송파구,,
