,위도,경도,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총인원
0,37.5110706,127.0456034,3220000,322000003420200001,20200609,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강남구 삼성동 38-30 청림빌딩,서울특별시 강남구 봉은사로 415 청림빌딩 지하1층 (삼성동),6097.0,펫스튜어드,20210120110406,U,2020-11-30 22:02:00.0,단미,,,,,
1,37.55953710000001,127.074822,3040000,304000003420190005,20191101,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 광진구 중곡동 635-2번지 ,서울특별시 광진구 천호대로101길 6 2층 (중곡동),4920.0,트릿테이블,20191101133052,I,2019-11-29 00:23:27.0,배합,사료제조업,배합,,000,
2,37.5792013,127.0391628,3050000,305000003420190001,20190826,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 동대문구 제기동 1019번지 경동시장 ,서울특별시 동대문구 고산자로36길 3 경동시장 신관 3층 70113호 (제기동),2571.0,투테일스,20200416140317,U,2020-04-18 02:40:00.0,단미,사료제조업,단미,,000,
3,37.5759571,127.0481232,3050000,305000003420190002,20190909,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 동대문구 전농동 650-2번지 ,서울특별시 동대문구 답십리로 61-1 지하1층 (전농동),2551.0,핑거스튜디오,20190909211623,I,2019-09-11 02:22:33.0,단미,사료제조업,단미,,000,
4,37.5995979,127.0873868,3060000,306000003420190001,20190925,,1,영업/정상,0,정상,,,,,-,0.0,,서울특별시 중랑구 상봉동 202-1,서울특별시 중랑구 상봉중앙로1길 12 (상봉동),2091.0,왈왈츠,20200921170441,U,2019-12-08 22:03:00.0,단미,,,,,
5,37.5018203,127.0414479,6110000,611000050220210045,20210830,,1,영업/정상,0,정상,,,,,,,,서울특별시 강남구 역삼동  720번지 0호 인호IP빌딩,서울특별시 강남구 테헤란로 230 인호IP빌딩 14층(역삼동),,시메트릭 주식회사,20210829171130,I,2020-12-07 21:01:00.0,사료제조업(수입),,,,,
6,37.5988455,127.0949981,3060000,306000003420200002,20200220,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 중랑구 상봉동 74-2번지 ,서울특별시 중랑구 망우로 385 (상봉동),2086.0,본오독,20200220173056,I,2020-02-22 00:23:23.0,단미,사료제조업,단미,,000,
7,37.6004293,127.0901546,3060000,306000003420210005,20210830,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 중랑구 상봉동 276-52,서울특별시 중랑구 상봉중앙로8가길 46-1 1층 (상봉동),2082.0,위클리,20210830105716,I,2020-12-09 00:01:00.0,단미,,,,,
8,37.5792303,127.0208782,3070000,307000003420190003,20190617,,1,영업/정상,0,정상,,,,,02-923-1909,0.0,,서울특별시 성북구 보문동6가 297번지 ,서울특별시 성북구 보문로13라길 14 2층 (보문동6가),2873.0,왕짱,20190617151717,I,2019-06-19 02:21:42.0,단미,사료제조업,단미,,000,
9,37.6133318,127.0595479,3070000,307000003420190001,20190111,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 성북구 장위동 43-15번지 ,서울특별시 성북구 화랑로39길 20 2층 (장위동),2775.0,Dear fluffy(디어 플러피),20191127101514,U,2019-11-29 02:40:00.0,단미,사료제조업,단미,,000,
10,37.58869079999999,127.0100247,3070000,307000003420170002,20171207,,1,영업/정상,0,정상,,,,,070-7767-0543,0.0,,서울특별시 성북구 삼선동2가 6번지 ,서울특별시 성북구 삼선교로11길 24 4층 (삼선동2가),2861.0,스쿱543,20171207163627,I,2018-08-31 23:59:59.0,단미,사료제조업,단미,,000,
11,37.5885622,127.0087616,3070000,307000003420180001,20180126,,1,영업/정상,0,정상,,,,,070-4235-9396,0.0,,서울특별시 성북구 동소문동3가 3번지 1층 ,서울특별시 성북구 동소문로2길 79 1층 (동소문동3가),2860.0,뚜리까까,20190311155950,U,2019-03-13 02:40:00.0,단미,사료제조업,단미,,000,
12,37.5805309,127.0054048,3000000,300000003420180001,20180404,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 종로구 동숭동 129-134번지 ,서울특별시 종로구 낙산길 17 지하1층 (동숭동),3085.0,홍쥬스컵,20180404095916,I,2018-08-31 23:59:59.0,단미,사료제조업,단미,,000,
13,37.6032131,126.9559011,3000000,300000003420170001,20170411,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 종로구 홍지동 103-24번지 ,서울특별시 종로구 자하문로 298 1층 (홍지동),3017.0,나니스펫푸드,20170411101910,I,2018-08-31 23:59:59.0,단미,사료제조업,단미,,000,
14,37.5764692,126.9687697,3000000,300000003420190001,20190322,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 종로구 필운동 137-3번지 ,서울특별시 종로구 사직로9길 6 (필운동),3027.0,마켓조이,20190812110201,U,2019-11-20 02:40:00.0,단미,사료제조업,단미,,000,
15,37.6023785,127.0173643,3070000,307000003420190002,20190207,,1,영업/정상,0,정상,,,,,02-6407-5959,0.0,,서울특별시 성북구 정릉동 14-34,서울특별시 성북구 정릉로36길 24 1층 좌측호 (정릉동),2816.0,뭐줄까오늘간식,20210611163515,U,2020-12-05 23:03:00.0,단미,,,,,
16,37.6130641,127.0085708,3070000,307000003420190004,20190807,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 성북구 정릉동 252-132,서울특별시 성북구 보국문로24길 21-6 지층 (정릉동),2711.0,개로만족,20210811164227,U,2020-12-07 23:03:00.0,단미,,,,,
17,37.5592609,127.0153921,3010000,301000003420130001,20131213,,4,취소/말소/만료/정지/중지,4,말소,20180718.0,,,,02-6326-6990,0.0,,서울특별시 중구 신당동 317-7번지 1층 ,서울특별시 중구 다산로28길 33 1층 (신당동),4589.0,Wholesome Pet Food,20180719092912,I,2018-08-31 23:59:59.0,배합,사료제조업,배합,,000,
18,37.5339827,126.9503898,3020000,302000003420180002,20180611,,1,영업/정상,0,정상,,,,,02-795-5834,0.0,,서울특별시 용산구 산천동 202번지 삼성테마트 상가동 152호,서울특별시 용산구 원효로 51 상가동 152호 (산천동 삼성테마트),4359.0,페따미꼬,20190522093519,U,2019-05-24 02:40:00.0,단미,사료제조업,단미,,000,
19,37.5403487,126.967974,3020000,302000003420190001,20190402,,1,영업/정상,0,정상,,,,,070-5175-7979,0.0,,서울특별시 용산구 원효로1가 47-3번지 지상1층 101호 ,서울특별시 용산구 원효로89길 13-9 지상1층 101호 (원효로1가),4316.0,위닝푸드,20190402093720,I,2019-04-04 02:20:12.0,단미,사료제조업,단미,,000,
20,37.5411047,127.0144948,3030000,303000003420180002,20181210,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 성동구 옥수동 250-7번지 옥수삼성아파트 상가 지하1층 B8호,서울특별시 성동구 한림말길 31 옥수삼성아파트 상가 지하1층 B8호 (옥수동),4735.0,맘마누,20181210200613,I,2018-12-12 02:20:14.0,단미,사료제조업,단미,,000,
21,37.546485,127.0431148,3030000,303000003420090001,20091123,,1,영업/정상,0,정상,,,,,,,,서울특별시 성동구 성수동1가 668-61번지 ,서울특별시 성동구 서울숲4길 22-31 (성수동1가),,퓨어도그(Pure dog),20120118143923,I,2018-08-31 23:59:59.0,배합,사료제조업,배합,,000,
22,37.5505499,127.0341139,3030000,303000003420180001,20180927,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 성동구 응봉동 100번지 노선상가 203호,서울특별시 성동구 독서당로 398 노선상가 2층 203호 (응봉동),4741.0,와글팝,20180927191105,U,2018-09-27 23:59:59.0,단미,사료제조업,단미,,000,
23,37.5620277,126.8402427,3150000,315000003420210002,20210204,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강서구 등촌동 679-5 상아빌딩,서울특별시 강서구 강서로56가길 55 상아빌딩 1층 (등촌동),7583.0,프리미엄 바이 마이 디어,20210204165701,I,2020-12-02 00:06:00.0,단미,,,,,
24,37.5589416,126.8286378,3150000,315000003420210001,20210204,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강서구 마곡동 799-2 푸리마타워,서울특별시 강서구 공항대로 190 푸리마타워 511호 (마곡동),7631.0,제이공방,20210204162738,I,2020-12-02 00:06:00.0,단미,,,,,
25,37.49916520000001,126.9498321,3190000,319000003420210002,20210902,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 동작구 상도동 415 중앙하이츠빌아파트,서울특별시 동작구 상도로 320 상가동 201호 (상도동 중앙하이츠빌아파트),7033.0,댕쁘앙,20210902162338,I,2020-12-09 00:04:00.0,단미,,,,,
26,37.5519071,127.0271876,3030000,303000003420200001,20200113,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 성동구 금호동1가 633 벽산아파트 상가동동 602-2호,서울특별시 성동구 금호로 102 벽산아파트 상가동 6층 602-2호 (금호동1가),4718.0,시바봉봉,20200707134513,U,2019-12-07 00:09:00.0,단미,,,,,
27,37.536277,127.0637797,3040000,304000003420170002,20171020,,1,영업/정상,0,정상,,,,,,0.0,,,서울특별시 광진구 뚝섬로24길 3 2층 (자양동),5084.0,오지의 펫테이블,20171020144943,I,2018-08-31 23:59:59.0,단미,사료제조업,단미,,000,
28,37.5622546,127.08686,3040000,304000003420180001,20180727,,1,영업/정상,0,정상,,,,,02-456-3335,0.0,,서울특별시 광진구 중곡동 150-104번지 선영타워 401호,서울특별시 광진구 용마산로 97 선영타워 4층 (중곡동),4935.0,주식회사 단주,20200618110811,U,2019-12-05 22:00:00.0,단미,,,,,
29,37.5806388,127.0519061,3050000,305000003420210005,20210903,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 동대문구 전농동 212-2,서울특별시 동대문구 답십리로23길 127 1층 좌측호 (전농동),2550.0,댕블리,20210903091836,I,2020-12-09 00:05:00.0,단미,,,,,
30,37.5497419,127.0492024,3030000,303000003420210001,20210205,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 성동구 성수동1가 13-27,서울특별시 성동구 상원10길 11-8 (성수동1가),4791.0,제이펫컴퍼니,20210514100913,U,2020-12-04 23:06:00.0,단미,,,,,
31,37.5792303,127.0208782,3070000,307000003420140001,20140827,,1,영업/정상,0,정상,,,,,923-1909,0.0,,서울특별시 성북구 보문동6가 297번지 2층 ,서울특별시 성북구 보문로13라길 14 2층 (보문동6가),2873.0,왕짱,20190617150732,U,2019-06-19 02:40:00.0,단미,사료제조업,단미,,000,
32,37.6126155,127.0098673,3070000,307000003420140002,20141114,,1,영업/정상,0,정상,,,,,02-358-9002,0.0,,서울특별시 성북구 정릉동 260-26번지 ,서울특별시 성북구 보국문로20길 32 (정릉동),2711.0,하이텍코리아,20190314165727,U,2019-03-16 02:40:00.0,단미,사료제조업,단미,,000,
33,37.6263377,127.0271393,3080000,308000003420180001,20180316,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강북구 미아동 121-5번지 1층 ,서울특별시 강북구 솔매로 136 1층 (미아동),1157.0,비비안나,20200420093348,U,2020-04-22 02:40:00.0,단미,사료제조업,단미,,000,
34,37.5364304,127.1473428,6110000,611000050220210009,20210218,,1,영업/정상,0,정상,,,,,,,,서울특별시 강동구 길동  470번지 0호 현대아파트 102동 1106호,서울특별시 강동구 천호대로 1231 102동 1106호 (길동 현대아파트),5349.0,인터글로벌,20210218132110,I,2020-12-01 22:00:00.0,사료제조업(단미),,,,,
35,,,3080000,308000003420200001,20200407,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강북구 수유동 279-126번지 ,서울특별시 강북구 4.19로 8 1층 (수유동),1011.0,스낵몽,20200407101823,I,2020-04-09 00:23:32.0,단미,사료제조업,단미,,000,
36,37.648612,127.0379032,3090000,309000003420190002,20191210,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 도봉구 창동 664-44번지 ,서울특별시 도봉구 노해로62길 58 1층 (창동),1456.0,신선L&B,20191220094902,U,2019-12-22 02:40:00.0,단미,사료제조업,단미,,000,
