,name,lat,long,address,type
0,강아지대학로,37.5800539,127.0036798,서울특별시 종로구 동숭동,위탁관리업
1,미션코리아,37.57259880000001,127.0021697,서울특별시 종로구 효제동,위탁관리업
2,누리봄동물병원,37.5757558,126.9710255,서울특별시 종로구 내자동,위탁관리업
3,경희궁바른동물병원,37.5713246,126.9635654,서울특별시 종로구 홍파동,위탁관리업
4,월드펫동물병원,37.6049187,126.9612201,서울특별시 종로구 신영동,위탁관리업
5,북악동물병원,37.5988639,126.9602481,서울특별시 종로구 홍지동,위탁관리업
6,서촌도그살롱,37.5752881,126.9696147,서울특별시 종로구 필운동,위탁관리업
7,퍼플캣,37.5762587,127.0036526,서울특별시 종로구 이화동,위탁관리업
8,강아지 마법사 골드맘,37.5623261,127.0166625,서울특별시 중구 신당동,위탁관리업
9,강아지,37.55176429999999,127.0108665,서울특별시 중구 신당동,위탁관리업
10,애뚜애뚜,37.560998,127.0183992,서울특별시 중구 신당동,위탁관리업
11,미래지동물의료센터,37.5536414,127.0096041,서울특별시 중구 신당동,위탁관리업
12,남산동물병원,37.5491389,127.0093824,서울특별시 중구 신당동,위탁관리업
13,백슬동물병원,37.5543253,126.9657781,서울특별시 중구 만리동2가,위탁관리업
14,COZY,37.5570088,127.0146609,서울특별시 중구 신당동,위탁관리업
15,대한동물병원,37.5620673,126.9969058,서울특별시 중구 충무로4가,위탁관리업
16,금강동물병원,37.5174785,126.9805401,서울특별시 용산구 이촌동,위탁관리업
17,케이나인클럽하우스(K9 ClubHouse),37.539328,126.9905552,서울특별시 용산구 이태원동,위탁관리업
18,베럴라이프(BetterLife),37.5400456,126.9921017,서울특별시 용산구 이태원동,위탁관리업
19,다줄,37.52909229999999,126.9606764,서울특별시 용산구 한강로3가,위탁관리업
20,아츠,37.5327364,126.9904685,서울특별시 용산구 이태원동,위탁관리업
21,도기캠프,37.5387966,126.9639117,서울특별시 용산구 효창동,위탁관리업
22,꼬리살랑,37.5342733,126.9596974,서울특별시 용산구 원효로3가,위탁관리업
23,원스동물병원,37.5449499,126.9694824,서울특별시 용산구 청파동2가,위탁관리업
24,펫그라운드_해방촌,37.5433963,126.987477,서울특별시 용산구 용산동2가,위탁관리업
25,우쭈쭈,37.5330472,126.9939859,서울특별시 용산구 이태원동,위탁관리업
26,바다동물병원,37.5239562,126.9719637,서울특별시 용산구 용산동5가,위탁관리업
27,달래동물의료센터,37.5355035,127.0065391,서울특별시 용산구 한남동,위탁관리업
28,민트동물병원,37.5337926,126.9500754,서울특별시 용산구 산천동,위탁관리업
29,라온동물병원,37.5363658,126.9871919,서울특별시 용산구 이태원동,위탁관리업
30,메이펫케어,37.5323764,127.0052674,서울특별시 용산구 한남동,위탁관리업
31,남산동물병원,37.5483938,126.9779995,서울특별시 용산구 후암동,위탁관리업
32,24시 시유동물메디컬센터,37.5199656,126.9698589,서울특별시 용산구 이촌동,위탁관리업
33,베이동물병원,37.51784809999999,126.9729615,서울특별시 용산구 이촌동,위탁관리업
34,(주)이상윤동물병원,37.5194202,126.9748273,서울특별시 용산구 이촌동,위탁관리업
35,이태원동물병원,37.5363658,126.9871919,서울특별시 용산구 이태원동,위탁관리업
36,펫토이동물병원,37.5334282,127.0012182,서울특별시 용산구 한남동,위탁관리업
37,더힐동물의료센터,37.5346037,127.0095526,서울특별시 용산구 한남동,위탁관리업
38,펫살롱,37.5703152,127.0235578,서울특별시 성동구 상왕십리동,위탁관리업
39,댕댕이루,37.5435182,127.0437247,서울특별시 성동구 성수동1가,위탁관리업
40,개깎쟁이,37.561949,127.038485,서울특별시 성동구 행당동,위탁관리업
