,park,salon,cafe,deliver,equip,rst,hospital,manage,pharmacy,playground,restaurant,sell,cluster,lat,lng
0,0.3,0.263157895,0,0.428571429,0.12,0,0.217391304,0.086956522,0.244444444,0,0,0.186046512,0,37.493239,126.859507
1,0.3,0.236842105,0,0.142857143,0.04,0,0.304347826,0.086956522,0.244444444,0,0,0.162790698,19,37.493239,126.864507
2,0.3,0.105263158,0,0.142857143,0,0.080645161,0.173913043,0.043478261,0.111111111,0,0,0.058139535,2,37.493239,126.869507
3,0.1,0.026315789,0,0.142857143,0.04,0.096774194,0.086956522,0,0.044444444,0,0,0.081395349,15,37.493239,126.874507
4,0.1,0.131578947,0,0.142857143,0.08,0.14516129,0.434782609,0.043478261,0.111111111,0,0,0.151162791,19,37.493239,126.879507
5,0,0.210526316,0,0.142857143,0.12,0.129032258,0.434782609,0.086956522,0.244444444,0,0,0.186046512,19,37.493239,126.884507
6,0,0.236842105,0,0.285714286,0.16,0.14516129,0.47826087,0.130434783,0.311111111,0,0.027027027,0.220930233,0,37.493239,126.889507
7,0,0.157894737,0,0.142857143,0.12,0.193548387,0.130434783,0.086956522,0.311111111,0,0.027027027,0.174418605,19,37.493239,126.894507
8,0.1,0.184210526,0,0.142857143,0.08,0.177419355,0.217391304,0.130434783,0.422222222,0.333333333,0.027027027,0.174418605,10,37.493239,126.899507
9,0.1,0.157894737,0,0.285714286,0.08,0.080645161,0.217391304,0.130434783,0.355555556,0.333333333,0.081081081,0.186046512,10,37.493239,126.904507
10,0.1,0.236842105,0,0.142857143,0.12,0.096774194,0.130434783,0.217391304,0.333333333,0.333333333,0.081081081,0.209302326,10,37.493239,126.909507
11,0.1,0.342105263,0,0.142857143,0.2,0.177419355,0.173913043,0.260869565,0.355555556,0.666666667,0.135135135,0.290697674,9,37.493239,126.914507
12,0.2,0.552631579,0,0.428571429,0.28,0.209677419,0.304347826,0.434782609,0.288888889,0.666666667,0.135135135,0.430232558,1,37.493239,126.919507
13,0.3,0.447368421,0,0.285714286,0.16,0.193548387,0.260869565,0.304347826,0.4,0.666666667,0.135135135,0.348837209,1,37.493239,126.924507
14,0.3,0.473684211,0,0.571428571,0.2,0.193548387,0.260869565,0.304347826,0.422222222,0.666666667,0.135135135,0.372093023,1,37.493239,126.929507
15,0.3,0.394736842,0,0.571428571,0.16,0.096774194,0.173913043,0.304347826,0.422222222,0.666666667,0.135135135,0.406976744,1,37.493239,126.934507
16,0.2,0.157894737,0.090909091,0.142857143,0.12,0.032258065,0.086956522,0.217391304,0.155555556,0.333333333,0.135135135,0.279069767,10,37.493239,126.939507
17,0.2,0.157894737,0.090909091,0.142857143,0.24,0.048387097,0.173913043,0.260869565,0.244444444,0,0.081081081,0.197674419,19,37.493239,126.944507
18,0.2,0.210526316,0,0,0.16,0.032258065,0.217391304,0.304347826,0.222222222,0,0.027027027,0.220930233,19,37.493239,126.949507
19,0.4,0.210526316,0,0,0.16,0.032258065,0.217391304,0.260869565,0.2,0,0.054054054,0.197674419,19,37.493239,126.954507
20,0.4,0.131578947,0,0,0.08,0.016129032,0.086956522,0.217391304,0.177777778,0,0.027027027,0.127906977,2,37.493239,126.959507
21,0.3,0.052631579,0,0,0.04,0.048387097,0.043478261,0.043478261,0.044444444,0,0.108108108,0.058139535,2,37.493239,126.964507
22,0.3,0.105263158,0,0,0.04,0.048387097,0.173913043,0,0.066666667,0,0.162162162,0.058139535,2,37.493239,126.969507
23,0.3,0.105263158,0,0,0.2,0.064516129,0.217391304,0.043478261,0.111111111,0,0.162162162,0.093023256,2,37.493239,126.974507
24,0.3,0.210526316,0.090909091,0,0.36,0.14516129,0.304347826,0.173913043,0.266666667,0,0.135135135,0.186046512,19,37.493239,126.979507
25,0.2,0.289473684,0.090909091,0.142857143,0.32,0.209677419,0.391304348,0.260869565,0.377777778,0,0.135135135,0.313953488,7,37.493239,126.984507
26,0.2,0.447368421,0.090909091,0.285714286,0.44,0.209677419,0.565217391,0.391304348,0.311111111,0,0.135135135,0.38372093,7,37.493239,126.989507
27,0.2,0.5,0.090909091,0.428571429,0.4,0.193548387,0.565217391,0.52173913,0.2,0,0.135135135,0.488372093,3,37.493239,126.994507
28,0,0.315789474,0.090909091,0.428571429,0.24,0.225806452,0.260869565,0.260869565,0.288888889,0,0.108108108,0.325581395,0,37.493239,126.999507
29,0,0.157894737,0,0.285714286,0.24,0.112903226,0.217391304,0.217391304,0.244444444,0,0.027027027,0.197674419,0,37.493239,127.004507
30,0,0.131578947,0,0.142857143,0.12,0.225806452,0.217391304,0.260869565,0.311111111,0,0,0.209302326,19,37.493239,127.009507
31,0,0.236842105,0,0.142857143,0.16,0.370967742,0.347826087,0.347826087,0.444444444,0,0.081081081,0.279069767,12,37.493239,127.014507
32,0,0.315789474,0,0.142857143,0.24,0.467741935,0.347826087,0.434782609,0.777777778,0.333333333,0.081081081,0.302325581,8,37.493239,127.019507
33,0.1,0.447368421,0.090909091,0.142857143,0.48,0.564516129,0.391304348,0.47826087,0.866666667,0.666666667,0.081081081,0.418604651,13,37.493239,127.024507
34,0.1,0.447368421,0.090909091,0.428571429,0.6,0.64516129,0.52173913,0.608695652,0.866666667,0.666666667,0.081081081,0.372093023,13,37.493239,127.029507
35,0.1,0.473684211,0.181818182,0.428571429,0.56,0.64516129,0.565217391,0.565217391,0.955555556,0.666666667,0.081081081,0.395348837,13,37.493239,127.034507
36,0.1,0.473684211,0.272727273,0.428571429,0.48,0.419354839,0.608695652,0.565217391,0.622222222,0.666666667,0.081081081,0.360465116,13,37.493239,127.039507
37,0.1,0.5,0.181818182,0.428571429,0.44,0.306451613,0.695652174,0.52173913,0.488888889,0.666666667,0.027027027,0.348837209,13,37.493239,127.044507
38,0.1,0.368421053,0.090909091,0.142857143,0.32,0.258064516,0.608695652,0.52173913,0.644444444,0.666666667,0,0.26744186,1,37.493239,127.049507
39,0.1,0.263157895,0.090909091,0,0.24,0.209677419,0.304347826,0.347826087,0.555555556,0.333333333,0,0.174418605,10,37.493239,127.054507
40,0.1,0.236842105,0,0,0.24,0.193548387,0.304347826,0.260869565,0.511111111,0.333333333,0,0.139534884,10,37.493239,127.059507
41,0.1,0.210526316,0,0,0.12,0.112903226,0.130434783,0.217391304,0.288888889,0,0,0.11627907,19,37.493239,127.064507
42,0.2,0.157894737,0,0,0.08,0.14516129,0.086956522,0.173913043,0.244444444,0,0,0.093023256,19,37.493239,127.069507
43,0.3,0.105263158,0,0,0.08,0.096774194,0.086956522,0.086956522,0.133333333,0,0,0.046511628,2,37.493239,127.074507
44,0.3,0.078947368,0,0,0,0.080645161,0.086956522,0.086956522,0.177777778,0,0.027027027,0.046511628,2,37.493239,127.079507
45,0.3,0.078947368,0,0,0.08,0.080645161,0.086956522,0.086956522,0.177777778,0,0.108108108,0.034883721,2,37.493239,127.084507
46,0.3,0.078947368,0,0,0.08,0.096774194,0.086956522,0.130434783,0.177777778,0,0.108108108,0.046511628,2,37.493239,127.089507
47,0.3,0.210526316,0,0.142857143,0.16,0.177419355,0.130434783,0.130434783,0.111111111,0,0.162162162,0.186046512,19,37.493239,127.094507
48,0.2,0.210526316,0,0.285714286,0.24,0.338709677,0.043478261,0.130434783,0.244444444,0,0.189189189,0.255813953,12,37.493239,127.099507
49,0.2,0.210526316,0,0.285714286,0.24,0.419354839,0,0.043478261,0.377777778,0,0.243243243,0.220930233,12,37.493239,127.104507
50,0.3,0.315789474,0,0.428571429,0.28,0.758064516,0.130434783,0.086956522,0.666666667,0,0.243243243,0.337209302,12,37.493239,127.109507
51,0.2,0.236842105,0,0.285714286,0.32,0.629032258,0.130434783,0.173913043,0.6,0,0.216216216,0.337209302,12,37.493239,127.114507
52,0.3,0.368421053,0.181818182,0.142857143,0.44,1,0.217391304,0.391304348,0.488888889,0,0.108108108,0.406976744,12,37.493239,127.119507
53,0.3,0.421052632,0.090909091,0,0.4,1,0.260869565,0.391304348,0.6,0,0.081081081,0.476744186,12,37.493239,127.124507
54,0.3,0.421052632,0.090909091,0,0.4,0.693548387,0.217391304,0.304347826,0.377777778,0,0.054054054,0.255813953,12,37.493239,127.129507
55,0.3,0.473684211,0.181818182,0,0.28,0.241935484,0.434782609,0.347826087,0.311111111,0,0.027027027,0.313953488,7,37.493239,127.134507
56,0.4,0.421052632,0.090909091,0,0.24,0.129032258,0.391304348,0.260869565,0.355555556,0,0.027027027,0.279069767,7,37.493239,127.139507
57,0.4,0.368421053,0.090909091,0,0.24,0.064516129,0.304347826,0.304347826,0.244444444,0,0.027027027,0.26744186,7,37.493239,127.144507
58,0.3,0.263157895,0.090909091,0,0.24,0.064516129,0.304347826,0.260869565,0.222222222,0,0,0.290697674,19,37.493239,127.149507
59,0.2,0.157894737,0,0,0.12,0,0.217391304,0.086956522,0.222222222,0,0,0.174418605,19,37.493239,127.154507
60,0.2,0.026315789,0,0,0.12,0,0.043478261,0.043478261,0.066666667,0,0,0.058139535,15,37.493239,127.159507
61,0.1,0,0,0,0.04,0,0,0,0,0,0,0,15,37.493239,127.164507
62,0.1,0,0,0,0,0,0,0,0,0,0,0,15,37.493239,127.169507
63,0.1,0,0,0,0,0,0,0,0,0,0,0,15,37.493239,127.174507
64,0,0,0,0,0,0,0,0,0,0,0,0,15,37.493239,127.179507
65,0,0,0,0,0,0,0,0,0,0,0,0,15,37.493239,127.184507
66,0,0,0,0,0,0,0,0,0,0,0,0,15,37.493239,127.189507
67,0,0,0,0,0,0,0,0,0,0,0,0,15,37.493239,127.194507
68,0,0,0,0,0,0,0,0,0,0,0,0,15,37.493239,127.199507
69,0,0,0,0,0,0,0,0,0,0,0,0,15,37.493239,127.204507
70,0,0,0,0,0,0,0,0,0,0,0,0,15,37.493239,127.209507
71,0,0,0,0,0,0,0,0,0,0,0,0,15,37.493239,127.214507
72,0,0,0,0,0,0,0,0,0,0,0,0,15,37.493239,127.219507
73,0,0,0,0,0,0,0,0,0,0,0,0,15,37.493239,127.224507
74,0.3,0.394736842,0,0.428571429,0.16,0,0.304347826,0.086956522,0.311111111,0,0,0.209302326,0,37.498239,126.859507
75,0.3,0.315789474,0,0.428571429,0.16,0.064516129,0.347826087,0.086956522,0.2,0,0,0.186046512,0,37.498239,126.864507
76,0.2,0.236842105,0.090909091,0.285714286,0.08,0.129032258,0.304347826,0.086956522,0.155555556,0,0,0.139534884,0,37.498239,126.869507
77,0.1,0.157894737,0.090909091,0.285714286,0.04,0.177419355,0.47826087,0.130434783,0.066666667,0,0,0.162790698,0,37.498239,126.874507
78,0.1,0.131578947,0.090909091,0.142857143,0.04,0.209677419,0.434782609,0.086956522,0.177777778,0,0,0.127906977,19,37.498239,126.879507
