,name,lat,lng,address,type
0,올리브 동물병원,37.5036017,126.8627094,서울특별시 구로구 고척동 50-48,동물판매업
1,레츠개릿,37.5639006,126.8395631,서울특별시 강서구 마곡동 784-9 마곡오드카운티2차,동물판매업
2,이펫,37.5639006,126.8395631,서울특별시 강서구 마곡동 784-9 마곡오드카운티2차,동물판매업
3,우리집고양이,37.6254802,126.9133993,서울특별시 은평구 갈현동 288-52,동물판매업
4,윤명원 펫택시,37.4698462,127.1107226,서울특별시 강남구 율현동 217 강남 한신휴플러스 8단지,동물판매업
5,고양이다락방,37.4985508,127.0261996,서울특별시 서초구 서초동 1317-11 강남 누드죤빌딩,동물판매업
6,에이컷,37.5096131,127.0529274,서울특별시 강남구 삼성동 125-6,동물판매업
7,HeyBokdi,37.6446384,127.0272304,서울특별시 강북구 수유동 166-30 백산빌딩,동물판매업
8,타요펫 모빌리티,37.6271116,127.0283796,서울특별시 강북구 미아동 198-27 보람빌라트,동물판매업
9,미니주동물병원,37.5479987,126.8678169,서울특별시 양천구 목동 601-6,동물판매업
10,피에스타,37.4820575,126.9474495,서울특별시 관악구 봉천동 893-5,동물판매업
11,두리디엠 (미스미스터펫),37.4850668,126.9166326,서울특별시 관악구 신림동 504-5,동물판매업
12,캣통령 잠실점,37.509809,127.0830088,서울특별시 송파구 잠실동 188-12,동물판매업
13,오류동물병원,37.4972632,126.8472065,서울특별시 구로구 오류동 33-1 예성라온팰리스 103동 101호,동물판매업
14,미독스,37.4651959,127.0164423,서울특별시 서초구 우면동 755 서초디벨리움,동물판매업
15,STAR DOG,37.6166079,127.0812718,서울특별시 중랑구 묵동 77-33 봉화빌딩,동물판매업
16,댕댕살롱,37.5829794,127.0790766,서울특별시 중랑구 면목동 172-112,동물판매업
17,댕댕살롱,37.5829794,127.0790766,서울특별시 중랑구 면목동 172-112,동물판매업
18,내안에너있DOG,37.6130186,127.099681,서울특별시 중랑구 신내동 317-6,동물판매업
19,내안에너있DOG,37.6130186,127.099681,서울특별시 중랑구 신내동 317-6,동물판매업
20,멍타펫택시,37.6325561,127.0608762,서울특별시 노원구 월계동 320-11 월계사슴3단지아파트,동물판매업
21,뽀도독,37.5455797,126.8610965,서울특별시 강서구 등촌동 514-9,동물판매업
