,구분,업체명,전화번호,소재지,인허가번호
0,미용,"사계절, 몽",***********,서울특별시 종로구 숭인동,300000003720210002
1,미용,허그댕댕,***********,서울특별시 종로구 창신동,300000003720210001
2,미용,한국반려동물아카데미뷰티샵,02-6959-3965,서울특별시 종로구 숭인동,300000003720190006
3,판매 미용,레인독,***********,서울특별시 종로구 명륜2가,300000003720190005
4,판매 전시 위탁관리 미용,미션코리아,***********,서울특별시 종로구 효제동,300000003720180017
5,미용,Dog star,***********,서울특별시 종로구 숭인동,300000003720180016
6,미용,광화문동물병원,02-722-8275,서울특별시 종로구 효자동,300000003720180014
7,위탁관리 미용,누리봄동물병원,02-735-7530,서울특별시 종로구 내자동,300000003720180013
8,미용,대학로동물병원,02-3672-8441,서울특별시 종로구 명륜2가,300000003720180012
9,미용,홍주스컵,***********,서울특별시 종로구 동숭동,300000003720180011
10,위탁관리 미용,경희궁바른동물병원,02-735-9088,서울특별시 종로구 홍파동,300000003720180010
11,미용,아지나라,***********,서울특별시 종로구 창신동,300000003720180009
12,위탁관리 미용,월드펫동물병원,02-379-7575,서울특별시 종로구 신영동,300000003720180008
13,미용,이쁜아이,***********,서울특별시 종로구 창신동,300000003720180006
14,위탁관리 미용,북악동물병원,02-391-4575,서울특별시 종로구 홍지동,300000003720180005
15,미용,서촌도그살롱,***********,서울특별시 종로구 필운동,300000003720180003
16,미용,나나애견미용,02-765-4612,서울특별시 종로구 숭인동,300000003720180002
17,미용,스타독,02-2266-2805,서울특별시 중구 충무로4가,301000003720200001
18,미용,웰펫동물병원,02-2256-7582,서울특별시 중구 신당동,301000003720190010
19,미용,메종동물병원,02-2038-7555,서울특별시 중구 신당동,301000003720190008
20,위탁관리 미용,강아지 마법사 골드맘,0507-1326-6831,서울특별시 중구 신당동,301000003720190006
21,미용,애니컴 메디컬센터,2232-9702,서울특별시 중구 신당동,301000003720190004
22,위탁관리 미용,애뚜애뚜,02-2233-7943,서울특별시 중구 신당동,301000003720190002
23,위탁관리 미용,미래지동물의료센터,2233-7574,서울특별시 중구 신당동,301000003720180011
24,미용,좋아요동물병원,2233-6675,서울특별시 중구 신당동,301000003720180010
25,위탁관리 미용,백슬동물병원,373-7588,서울특별시 중구 만리동2가,301000003720180008
26,위탁관리 미용,남산동물병원,2256-8275,서울특별시 중구 신당동,301000003720180009
27,미용,바른동물병원,2232-7975,서울특별시 중구 황학동,301000003720180007
28,위탁관리 미용,COZY,02-2253-6686,서울특별시 중구 신당동,301000003720180006
29,미용,바우미우동물병원,02-2237-3366,서울특별시 중구 신당동,301000003720180005
30,미용,(주)이마트청계천점,02-2290-1052,서울특별시 중구 황학동,301000003720180004
31,위탁관리 미용,대한동물병원,02-2263-6134,서울특별시 중구 충무로4가,301000003720180002
32,미용,올리스용산점,070-4193-1000,서울특별시 용산구 이태원동,302000003720210008
33,미용,몽스빌리지,02-6052-7877,서울특별시 용산구 도원동,302000003720210005
34,미용,베럴라이프(BetterLife),***********,서울특별시 용산구 이태원동,302000003720210006
35,미용,엠펫,-,서울특별시 용산구 후암동,302000003720210002
36,미용,아츠,-,서울특별시 용산구 이태원동,302000003720200010
37,미용,트리밍807,***********,서울특별시 용산구 한남동,302000003720200005
38,미용,꼬리살랑,02-1670-1612,서울특별시 용산구 원효로3가,302000003720200004
39,미용,도기캠프,02-714-5999,서울특별시 용산구 효창동,302000003720200002
40,미용,원스동물병원,02-719-8275,서울특별시 용산구 청파동2가,302000003720190007
41,미용,펫그라운드_해방촌,02-749-9990,서울특별시 용산구 용산동2가,302000003720190004
42,미용,소월집,-,서울특별시 용산구 이태원동,302000003720190002
43,미용,프랑소와펫,02-749-4700,서울특별시 용산구 이촌동,302000003720180049
44,미용,청화동물병원,02-792-7602,서울특별시 용산구 이태원동,302000003720180047
45,미용,효창동물병원,02-711-4527,서울특별시 용산구 효창동,302000003720180046
46,미용,우쭈쭈,02-6212-7411,서울특별시 용산구 이태원동,302000003720180043
47,미용,바다동물병원,02-792-2561,서울특별시 용산구 용산동5가,302000003720180041
48,미용,워너비동물병원 용산점,02-797-1275,서울특별시 용산구 한강로3가,302000003720180040
49,미용,아프리카동물병원,02-773-1119,서울특별시 용산구 후암동,302000003720180045
50,미용,멍멍？,02-795-0765,서울특별시 용산구 보광동,302000003720180039
51,미용,달래동물의료센터,02-794-1255,서울특별시 용산구 한남동,302000003720180034
52,미용,차오름동물병원,02-706-7975,서울특별시 용산구 산천동,302000003720180037
53,미용,원효동물병원,02-719-7070,서울특별시 용산구 원효로2가,302000003720180038
54,미용,메이펫케어,02-797-4410,서울특별시 용산구 한남동,302000003720180026
55,미용,남산동물병원,02-778-7582,서울특별시 용산구 후암동,302000003720180028
56,미용,민트동물병원,02-707-2235,서울특별시 용산구 산천동,302000003720180032
57,미용,라온동물병원,02-792-7585,서울특별시 용산구 이태원동,302000003720180030
