,구분,업체명,전화번호,소재지,인허가번호
0,운송,공병호펫택시,***********,서울특별시 종로구 명륜3가,300000003720200001
1,운송,GECOS(개코스),***********,서울특별시 종로구 평창동,300000003720190007
2,운송,멍이요,***********,서울특별시 중구 중림동,301000003720200004
3,운송,엔젤펫택시,1577-0423,서울특별시 중구 신당동,301000003720190005
4,운송,엔젤,-,서울특별시 중구 신당동,301000003720190003
5,운송,꼬리살랑,02-1670-1612,서울특별시 용산구 원효로3가,302000003720210004
6,운송,조은주펫택시,***********,서울특별시 용산구 보광동,302000003720210003
7,운송,유임정펫택시,***********,서울특별시 용산구 이촌동,302000003720200008
8,운송,이예슬펫택시,-,서울특별시 용산구 한강로2가,302000003720200001
9,운송,해피펫드라이버,***********,서울특별시 용산구 이촌동,302000003720190009
10,운송,타다펫,***********,서울특별시 용산구 보광동,302000003720180050
11,운송,(주)하율투어 펫피스 드라이버,02-6218-1318,서울특별시 성동구 성수동2가,303000003720210008
12,운송,정민영 펫택시,***********,서울특별시 성동구 성수동1가,303000003720210001
13,운송,수호펫,***********,서울특별시 성동구 성수동2가,303000003720200013
14,운송,이재원,***********,서울특별시 성동구 금호동2가,303000003720190021
15,운송,펫뜨락,***********,서울특별시 광진구 화양동,304000003720210005
16,운송,우기부기샵,070-8874-0564,서울특별시 광진구 구의동,304000003720210004
17,운송,디어독,02-499-6678,서울특별시 광진구 자양동,304000003720210003
18,운송,댕댕이 전용차,***********,서울특별시 광진구 중곡동,304000003720200010
19,운송,윤패션,***********,서울특별시 광진구 중곡동,304000003720180075
20,운송,주식회사 한국화물연합,1688-2424,서울특별시 동대문구 장안동,305000003720190008
21,운송,PET me up(최윤희),***********,서울특별시 동대문구 장안동,305000003720180067
22,운송,프리펫택시(FREE PET TAXI),-,서울특별시 중랑구 상봉동,306000003720210005
23,운송,반려동물 이동서비스,***********,서울특별시 중랑구 묵동,306000003720210003
24,운송,멍이요,***********,서울특별시 중랑구 신내동,306000003720210002
25,운송,황현준 펫택시,***********,서울특별시 중랑구 중화동,306000003720200013
26,운송,ABMALL,***********,서울특별시 중랑구 묵동,306000003720180076
27,운송,프렌즈 펫택시,-,서울특별시 성북구 길음동,307000003720210004
28,운송,박대희 펫택시,***********,서울특별시 성북구 석관동,307000003720200011
29,운송,타자,***********,서울특별시 성북구 동선동5가,307000003720200008
30,운송,행복하개키울고양,***********,서울특별시 성북구 안암동2가,307000003720190030
31,운송,호펫 강아지 고양이 성신여대본점,0507-1306-9216,서울특별시 성북구 동선동3가,307000003720190027
32,운송,장은정펫택시,***********,서울특별시 성북구 동소문동4가,307000003720190023
33,운송,김지용펫택시,***********,서울특별시 성북구 돈암동,307000003720190019
34,운송,행복하개키울고양,***********,서울특별시 성북구 안암동2가,307000003720190016
35,운송,안전한 펫택시,***********,서울특별시 성북구 하월곡동,307000003720190013
36,운송,삼미리 펫 모범택시,***********,서울특별시 강북구 미아동,308000003720210007
37,운송,은종민 펫택시,***********,서울특별시 강북구 미아동,308000003720200012
38,운송,타요펫 모빌리티,1522-9534,서울특별시 강북구 미아동,308000003720200008
39,운송,댕댕카,-,서울특별시 강북구 미아동,308000003720190017
40,운송,펫미업,-,서울특별시 강북구 수유동,308000003720190016
41,운송,스트로젤리컴퍼니,***********,서울특별시 강북구 번동,308000003720190004
42,운송,반려동물 이동서비스,***********,서울특별시 강북구 수유동,308000003720180038
43,운송,펫을 부탁해,***********,서울특별시 강북구 미아동,308000003720180036
44,운송,아트워크,-,서울특별시 도봉구 창동,309000003720210007
45,운송,멍이요 펫택시,***********,서울특별시 도봉구 쌍문동,309000003720210004
46,운송,반려동물 이동서비스,***********,서울특별시 도봉구 쌍문동,309000003720210003
47,운송,TAXI BENEPET(택시벤이펫),***********,서울특별시 도봉구 창동,309000003720190007
48,운송,펫아찌펫아씨,***********,서울특별시 도봉구 창동,309000003720180054
