,구분,업체명,전화번호,소재지,인허가번호
0,위탁관리,강아지대학로,***********,서울특별시 종로구 동숭동,300000003720200002
1,판매 전시 위탁관리 미용,미션코리아,***********,서울특별시 종로구 효제동,300000003720180017
2,위탁관리 미용,누리봄동물병원,02-735-7530,서울특별시 종로구 내자동,300000003720180013
3,위탁관리 미용,경희궁바른동물병원,02-735-9088,서울특별시 종로구 홍파동,300000003720180010
4,위탁관리 미용,월드펫동물병원,02-379-7575,서울특별시 종로구 신영동,300000003720180008
5,위탁관리 미용,북악동물병원,02-391-4575,서울특별시 종로구 홍지동,300000003720180005
6,위탁관리,서촌도그살롱,***********,서울특별시 종로구 필운동,300000003720180004
7,위탁관리,퍼플캣,***********,서울특별시 종로구 이화동,300000003720180001
8,위탁관리 미용,강아지 마법사 골드맘,0507-1326-6831,서울특별시 중구 신당동,301000003720190006
9,위탁관리,강아지,02-2233-2513,서울특별시 중구 신당동,301000003720190007
10,위탁관리 미용,애뚜애뚜,02-2233-7943,서울특별시 중구 신당동,301000003720190002
11,위탁관리 미용,미래지동물의료센터,2233-7574,서울특별시 중구 신당동,301000003720180011
12,위탁관리 미용,남산동물병원,2256-8275,서울특별시 중구 신당동,301000003720180009
13,위탁관리 미용,백슬동물병원,373-7588,서울특별시 중구 만리동2가,301000003720180008
14,위탁관리 미용,COZY,02-2253-6686,서울특별시 중구 신당동,301000003720180006
15,위탁관리 미용,대한동물병원,02-2263-6134,서울특별시 중구 충무로4가,301000003720180002
16,위탁관리,금강동물병원,02-798-7512,서울특별시 용산구 이촌동,302000003720210010
17,위탁관리,케이나인클럽하우스(K9 ClubHouse),-,서울특별시 용산구 이태원동,302000003720210009
18,위탁관리,베럴라이프(BetterLife),***********,서울특별시 용산구 이태원동,302000003720210007
19,위탁관리,다줄,02-798-0077,서울특별시 용산구 한강로3가,302000003720200013
20,위탁관리,아츠,-,서울특별시 용산구 이태원동,302000003720200011
21,위탁관리,도기캠프,02-714-5999,서울특별시 용산구 효창동,302000003720200003
22,위탁관리,꼬리살랑,02-1670-1612,서울특별시 용산구 원효로3가,302000003720190010
23,위탁관리,원스동물병원,02-719-8275,서울특별시 용산구 청파동2가,302000003720190006
24,위탁관리,펫그라운드_해방촌,02-749-9990,서울특별시 용산구 용산동2가,302000003720190005
25,위탁관리,우쭈쭈,02-6212-7411,서울특별시 용산구 이태원동,302000003720180044
26,위탁관리,바다동물병원,02-792-2561,서울특별시 용산구 용산동5가,302000003720180042
27,위탁관리,달래동물의료센터,02-794-1255,서울특별시 용산구 한남동,302000003720180035
28,위탁관리,민트동물병원,02-707-2235,서울특별시 용산구 산천동,302000003720180033
29,위탁관리,라온동물병원,02-792-7585,서울특별시 용산구 이태원동,302000003720180031
30,위탁관리,메이펫케어,02-797-4410,서울특별시 용산구 한남동,302000003720180027
31,위탁관리,남산동물병원,02-778-7582,서울특별시 용산구 후암동,302000003720180029
32,위탁관리,24시 시유동물메디컬센터,02-793-0075,서울특별시 용산구 이촌동,302000003720180017
33,위탁관리,베이동물병원,02-749-7588,서울특별시 용산구 이촌동,302000003720180015
34,위탁관리,(주)이상윤동물병원,02-792-5455,서울특별시 용산구 이촌동,302000003720180013
35,위탁관리,이태원동물병원,02-797-6677,서울특별시 용산구 이태원동,302000003720180011
36,위탁관리,펫토이동물병원,02-795-2184,서울특별시 용산구 한남동,302000003720180019
37,위탁관리,더힐동물의료센터,02-792-8275,서울특별시 용산구 한남동,302000003720180004
38,위탁관리,펫살롱,***********,서울특별시 성동구 상왕십리동,303000003720210006
39,위탁관리,댕댕이루,02-466-5787,서울특별시 성동구 성수동1가,303000003720210003
40,위탁관리,개깎쟁이,***********,서울특별시 성동구 행당동,303000003720200007
41,위탁관리,서울숲 dogs,024683694,서울특별시 성동구 성수동1가,303000003720200008
42,위탁관리,나인페츠,07088459101,서울특별시 성동구 성수동1가,303000003720200004
43,위탁관리,"고양아, 안녕?",***********,서울특별시 성동구 마장동,303000003720190019
44,위탁관리,주식회사 미래엔에듀케어 바우라움 서울숲 캠퍼스,02-6933-5361,서울특별시 성동구 행당동,303000003720190016
45,위탁관리,강아지,***********,서울특별시 성동구 성수동2가,303000003720190013
46,위탁관리,바스멍,0222997001,서울특별시 성동구 금호동1가,303000003720190008
47,위탁관리,댕댕이 하우스,02-989-5779,서울특별시 성동구 성수동1가,303000003720190007
48,위탁관리,베이글 버트 그루밍,***********,서울특별시 성동구 성수동1가,303000003720190003
49,위탁관리,24시LC동물의료센터,0233947530,서울특별시 성동구 용답동,303000003720180066
50,위탁관리,오렌지동물병원,0222977582,서울특별시 성동구 행당동,303000003720180061
51,위탁관리,모동모동,***********,서울특별시 성동구 성수동1가,303000003720180055
