,구분,업체명,전화번호,소재지,인허가번호
0,판매 전시 위탁관리 미용,미션코리아,***********,서울특별시 종로구 효제동,300000003720180017
1,전시,집사의 하루 북촌점,02-792-7984,서울특별시 종로구 화동,300000003720180015
2,전시,미어켓파크,02-762-7201,서울특별시 종로구 동숭동,300000003720180007
3,전시,하늘을 걷는 고양이 카페,02-319-7647,서울특별시 중구 명동2가,301000003720200002
4,전시,댕댕이루,02-466-5787,서울특별시 성동구 성수동1가,303000003720210002
5,전시,카페히릿,070-8870-4442,서울특별시 광진구 화양동,304000003720180059
6,전시,로얄에이알씨(주),02-468-0955,서울특별시 광진구 자양동,304000003720180057
7,전시,견우,***********,서울특별시 동대문구 장안동,305000003720190016
8,전시,주식회사 알에이엠씨로얄지점,6215-0955,서울특별시 중랑구 중화동,306000003720180057
9,전시,강아지카페 카페개네,***********,서울특별시 성북구 동선동2가,307000003720210007
10,전시,꿈냥꿈냥,-,서울특별시 강북구 수유동,308000003720210009
11,전시,도니바니 애견카페,02-933-1456,서울특별시 노원구 상계동,310000003720210010
12,전시,도니바니 애견카페,02-933-1456,서울특별시 노원구 상계동,310000003720210008
13,전시,애견카페 개그멍,02-931-5275,서울특별시 노원구 상계동,310000003720180019
14,전시,낭만고양이,0260144777,서울특별시 은평구 응암동,311000003720200014
15,전시,메르시몽프레,-,서울특별시 은평구 불광동,311000003720190016
16,전시,도그원,353-3858,서울특별시 은평구 갈현동,311000003720180076
17,전시,카페 곳,07044069090,서울특별시 서대문구 홍제동,312000003720190009
18,전시,고양이다락방,023383123,서울특별시 서대문구 창천동,312000003720180052
19,전시,퍼피독,023250853,서울특별시 서대문구 창천동,312000003720180050
20,전시,청춘 고양이 카페,02-336-5779,서울특별시 마포구 서교동,313000003720210015
21,전시,아이엔쥬,02-324-5542,서울특별시 마포구 창전동,313000003720210014
22,전시 위탁관리 미용,겨울이 머무는 집,***********,서울특별시 마포구 서교동,313000003720210011
23,전시,큐어 클리닉,***********,서울특별시 마포구 서교동,313000003720200018
24,전시,집사의 하루 홍대점,02-792-7984,서울특별시 마포구 서교동,313000003720200010
25,전시,고양이당,***********,서울특별시 마포구 망원동,313000003720190026
26,전시,연남동고양이,02-336-6430,서울특별시 마포구 동교동,313000003720190022
27,전시,써니네,02-334-3712,서울특별시 마포구 동교동,313000003720180046
28,전시,카페 펫크루,02-332-1367,서울특별시 마포구 서교동,313000003720180037
29,전시,미어캣 프렌즈,02-333-4683,서울특별시 마포구 서교동,313000003720180023
30,전시,구름뜬하늘,***********,서울특별시 마포구 서교동,313000003720180016
31,전시,테이블에이,02-324-5542,서울특별시 마포구 창전동,313000003720180004
32,판매 전시 위탁관리,스타독스,***********,서울특별시 강서구 내발산동,315000003720200029
33,전시,오늘도댕댕,***********,서울특별시 강서구 방화동,315000003720200017
34,전시,OMW dogs cafe,***********,서울특별시 강서구 화곡동,315000003720200007
35,전시,왓더독,02-3664-0219,서울특별시 강서구 마곡동,315000003720190049
36,전시,라운지독,02-3665-8259,서울특별시 강서구 등촌동,315000003720190032
37,전시,카카오독,***********,서울특별시 강서구 화곡동,315000003720190029
38,전시,펫티,02-2064-0043,서울특별시 강서구 마곡동,315000003720190024
39,전시,멍멍이다방,070-7563-0304,서울특별시 강서구 화곡동,315000003720190019
40,전시,놀러오개,070-4062-0707,서울특별시 강서구 화곡동,315000003720190015
