,번호,구분,업체명,전화번호,소재지,인허가번호,위도,경도
0,4072,판매,닥터아이펫 동물병원,-,서울특별시 중랑구 상봉동,306000003720130003,37.5971356,127.0875535
1,4071,판매,펫시랑 상봉점,02-496-7649,서울특별시 중랑구 상봉동,306000003720130004,37.5813075,127.0866659
2,4070,판매,해피독,6401-9585,서울특별시 중랑구 망우동,306000003720130001,37.5509786,126.8495382
3,4069,판매,(주)에이플러스 면목점,***********,서울특별시 중랑구 면목동,306000003720120004,37.5804974,127.0819554
4,4068,판매,(주)밀레펫,***********,서울특별시 중랑구 망우동,306000003720120003,37.3244538,126.7532955
5,4067,판매,안쌤러브애견,2207-0722,서울특별시 중랑구 면목동,306000003720120001,37.58728199999999,127.0766696
6,4066,판매,큐티펫,438-8889,서울특별시 중랑구 면목동,306000003720090003,37.5913101,127.0768762
7,4065,판매,코타강쥐,439-7754,서울특별시 중랑구 면목동,306000003720080010,37.5911192,127.0861259
8,4064,판매,순진한 강아지,***********,서울특별시 중랑구 망우동,306000003720080006,37.5927106,127.0982045
9,4063,판매,꿀펫,-,서울특별시 성북구 장위동,307000003720210005,37.60920840000001,127.0501516
10,4062,판매,낭만고양이 성북점,02-988-0416,서울특별시 성북구 길음동,307000003720200010,37.209489,127.0636379
11,4061,판매,호펫 강아지 고양이 성신여대본점,0507-1306-9216,서울특별시 성북구 동선동3가,307000003720190009,37.5945128,127.0201163
12,4060,판매,러블리펫,02-909-2082,서울특별시 성북구 하월곡동,307000003720160002,37.5128318,127.1196879
13,4059,판매,페리독,921-6654,서울특별시 성북구 동소문동6가,307000003720140005,41.1450775,-87.87801019999999
14,4058,판매,이마트 하월곡점,02-6936-1252,서울특별시 성북구 하월곡동,307000003720120004,37.6048729,127.0311852
15,4057,판매,(주)그린프레밀리,02-944-1053,서울특별시 성북구 길음동,307000003720120005,,
16,4056,판매,70dog,***********,서울특별시 성북구 정릉동,307000003720110003,39.9017235,-74.83942569999999
17,4055,판매,퍼피돌,941-2407,서울특별시 성북구 장위동,307000003720110002,37.6193246,126.9178285
18,4054,판매,요미독 성북구지점,912-8006,서울특별시 성북구 하월곡동,307000003720110001,37.6048476,127.0449555
19,4053,판매,아름애견,987-6688,서울특별시 성북구 길음동,307000003720080004,37.4419669,129.1774042
20,4052,판매,앙팡애견백화점,941-3700,서울특별시 성북구 장위동,307000003720080002,37.6135303,127.0479336
21,4051,판매,쥬파크,***********,서울특별시 강북구 미아동,308000003720210005,37.7778415,127.1651971
22,4050,판매,VELY DOG,***********,서울특별시 강북구 번동,308000003720190010,34.0138329,-118.1242932
23,4049,판매,멍스,02-983-3866,서울특별시 강북구 미아동,308000003720190008,46.2726571,-76.4757213
24,4048,판매,아이러브 캣,02-990-3359,서울특별시 강북구 수유동,308000003720190007,37.5375132,126.7211097
25,4047,판매,주토피아(zutopia),***********,서울특별시 강북구 수유동,308000003720190002,,
26,4046,판매,펫맘애,***********,서울특별시 강북구 수유동,308000003720180008,36.8322613,127.131011
27,4045,판매,애니몰파크,***********,서울특별시 강북구 번동,308000003720170005,37.6381073,127.0331043
28,4044,판매,삼호동물판매소,***********,서울특별시 강북구 수유동,308000003720170004,34.052185,-118.287374
29,4043,판매,멍가네,***********,서울특별시 강북구 미아동,308000003720160005,37.6322139,127.0253554
30,4042,판매,기다려빵아,***********,서울특별시 강북구 미아동,308000003720160004,37.6123905,127.0256856
31,4041,판매,팁하우스,***********,서울특별시 강북구 미아동,308000003720150001,36.3030221,-84.6122007
32,4040,판매,러브펫 멀티펫샵 수유역점,02-908-5554,서울특별시 강북구 번동,308000003720140001,37.63827920000001,127.029022
33,4039,판매,러브펫 멀티펫샵 수유역점,02-908-5554,서울특별시 강북구 번동,308000003720140002,37.63827920000001,127.029022
34,4038,판매,강아지세상,993-7727,서울특별시 강북구 수유동,308000003720090005,37.2437209,127.0530068
35,4037,판매,하늘애견,919-9742,서울특별시 강북구 수유동,308000003720090002,40.8643266,-73.9969858
36,4036,판매,퍼피하우스,988-7677,서울특별시 강북구 미아동,308000003720080004,40.8525419,-73.9862627
37,4035,판매,강미경의애견미용실,908-6358,서울특별시 강북구 수유동,308000003720080002,34.0575678,-118.3453317
38,4034,판매,도그얌,***********,서울특별시 도봉구 방학동,309000003720210008,37.4665648,126.6791885
39,4033,판매,오조호조,***********,서울특별시 도봉구 도봉동,309000003720210005,,
40,4032,판매,나의첫강아지,***********,서울특별시 도봉구 쌍문동,309000003720200009,,
41,4031,판매,고놈들,6956-7420,서울특별시 도봉구 쌍문동,309000003720200006,37.4867976,126.980714
42,4030,판매,너희가 푸들이라서 좋아,***********,서울특별시 도봉구 방학동,309000003720200004,,
43,4029,판매,사랑해줄개,954-6200,서울특별시 도봉구 도봉동,309000003720200001,37.7491923,127.0341867
44,4028,판매,에스(S)펫,955-0045,서울특별시 도봉구 도봉동,309000003720190023,37.67337360000001,127.0438364
