,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총인원,위도,경도
0,3160000.0,3.16e+17,20210114.0,,1.0,영업/정상,0.0,정상,,,,,02-2135-5866,0.0,,서울특별시 구로구 고척동 50-48,서울특별시 구로구 중앙로10길 7 고척프라자 1층 (고척동),8218.0,올리브 동물병원,20210100000000.0,I,2020.11.30 23:06,,187798.8693,444629.7048,,,,,,37.599235,126.9589611
1,3150000.0,3.15e+17,20200109.0,,1.0,영업/정상,0.0,정상,,,,,02-3663-2559,0.0,,서울특별시 강서구 마곡동 784-9 마곡오드카운티2차,서울특별시 강서구 강서로 433 마곡오드카운티2차 (마곡동),7792.0,레츠개릿,20200800000000.0,U,2019.12.7 23:05,,185775.0,451367.0,,,,,,,
2,3150000.0,3.15e+17,20200109.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 강서구 마곡동 784-9 마곡오드카운티2차,서울특별시 강서구 강서로 433 마곡오드카운티2차 (마곡동),7792.0,이펫,20200800000000.0,U,2019.12.7 23:05,,185775.0,451367.0,,,,,,37.6934542,126.7427265
3,3110000.0,3.11e+17,20200703.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 은평구 갈현동 288-52,서울특별시 은평구 갈현로37가길 13-13 (갈현동),3317.0,우리집고양이,20210100000000.0,U,2020.11.30 23:04,,192286.9604,458131.4393,,,,,,49.2145843,-122.9880037
4,3220000.0,3.22e+17,20200814.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 강남구 율현동 217 강남 한신휴플러스 8단지,서울특별시 강남구 밤고개로27길 20 803동 403호 (율현동 강남 한신휴플러스 8단지),6378.0,윤명원 펫택시,20200800000000.0,I,2019.12.7 23:06,,209678.8906,440899.4981,,,,,,,
5,3210000.0,3.21e+17,20200814.0,,1.0,영업/정상,0.0,정상,,,,,02-3481-3123,0.0,,서울특별시 서초구 서초동 1317-11 강남 누드죤빌딩,서울특별시 서초구 서초대로77길 9 강남 누드죤빌딩 4층 (서초동),6615.0,고양이다락방,20200800000000.0,I,2019.12.7 23:06,,202249.0597,444042.0443,,,,,,37.4985583,127.0262
6,3220000.0,3.22e+17,20200703.0,,1.0,영업/정상,0.0,정상,,,,,02-501-1288,0.0,,서울특별시 강남구 삼성동 125-6,서울특별시 강남구 테헤란로77길 52 지하1층 (삼성동),6156.0,에이컷,20200700000000.0,I,2019.12.7 0:05,,204612.0798,445269.5842,,,,,,37.3706914,127.1072399
7,3080000.0,3.08e+17,20200703.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 강북구 수유동 166-30 백산빌딩,서울특별시 강북구 도봉로101길 71 백산빌딩 1층 (수유동),1052.0,HeyBokdi,20200700000000.0,I,2019.12.7 0:05,,202336.4082,460255.7705,,,,,,,
8,3080000.0,3.08e+17,20200703.0,,1.0,영업/정상,0.0,정상,,,,,1522-9534,0.0,,서울특별시 강북구 미아동 198-27 보람빌라트,서울특별시 강북구 솔매로 145-6 401호 (미아동 보람빌라트),1133.0,타요펫 모빌리티,20200700000000.0,I,2019.12.7 0:05,,202437.7783,458308.1273,,,,,,,
9,3140000.0,3.14e+17,20200703.0,,1.0,영업/정상,0.0,정상,,,,,02-2651-8575,0.0,,서울특별시 양천구 목동 601-6,서울특별시 양천구 목동중앙북로 37 목3동 1층 (목동),7947.0,미니주동물병원,20200700000000.0,I,2019.12.7 0:05,,188251.3097,449540.7811,,,,,,38.6489986,-77.3282103
10,3200000.0,3.2e+17,20200805.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 관악구 봉천동 893-5,서울특별시 관악구 남부순환로 1775 3층 301호 (봉천동),8758.0,피에스타,20200800000000.0,I,2019.12.8 0:07,,195283.2668,442213.2228,,,,,,36.0179581,-95.9471382
11,3200000.0,3.2e+17,20200805.0,,1.0,영업/정상,0.0,정상,,,,,02-3281-0362,0.0,,서울특별시 관악구 신림동 504-5,서울특별시 관악구 조원로 128 지층 B101호 (신림동),8762.0,두리디엠 (미스미스터펫),20200800000000.0,I,2019.12.8 0:07,,192556.1886,442554.9316,,,,,,,
12,3230000.0,3.23e+17,20200805.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 송파구 잠실동 188-12,서울특별시 송파구 백제고분로9길 35 (잠실동),5560.0,캣통령 잠실점,20200800000000.0,I,2019.12.8 0:07,,207269.2405,445296.1224,,,,,,,
13,3160000.0,3.16e+17,20180917.0,,1.0,영업/정상,0.0,정상,,,,,226123232,0.0,,서울특별시 구로구 오류동 33-1 예성라온팰리스 103동 101호,서울특별시 구로구 경인로 236 예성라온팰리스 103동 101호 (오류동),8270.0,오류동물병원,20200800000000.0,U,2019.12.8 0:07,,186366.485,443886.0722,,,,,,37.497041,126.8465954
14,3210000.0,3.21e+17,20200814.0,,1.0,영업/정상,0.0,정상,,,,,02-577-7559,0.0,,서울특별시 서초구 우면동 755 서초디벨리움,서울특별시 서초구 양재대로2길 100-48 서초디벨리움 1층 105호 (우면동),6767.0,미독스,20200800000000.0,I,2019.12.7 23:06,,201290.205,439400.9741,,,,,,35.1515702,129.1166812
15,3060000.0,3.06e+17,20200826.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 중랑구 묵동 77-33 봉화빌딩,서울특별시 중랑구 공릉로12나길 12 103호 (묵동 봉화빌딩),2031.0,STAR DOG,20200800000000.0,I,2019.12.7 22:08,,207106.8519,457150.3052,,,,,,35.238298,-80.84234599999999
16,3060000.0,3.06e+17,20200826.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 중랑구 면목동 172-112,서울특별시 중랑구 동일로91길 10 1층 (면목동),2232.0,댕댕살롱,20200800000000.0,I,2019.12.7 22:08,,206916.6728,453418.2549,,,,,,33.4876165,126.4937366
17,3060000.0,3.06e+17,20200826.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 중랑구 면목동 172-112,서울특별시 중랑구 동일로91길 10 1층 (면목동),2232.0,댕댕살롱,20200800000000.0,I,2019.12.7 22:08,,206916.6728,453418.2549,,,,,,33.4876165,126.4937366
18,3060000.0,3.06e+17,20200826.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 중랑구 신내동 317-6,서울특별시 중랑구 신내로16길 76 107호 (신내동),2053.0,내안에너있DOG,20200800000000.0,I,2019.12.7 22:08,,208768.6285,456722.5584,,,,,,,
19,3060000.0,3.06e+17,20200826.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 중랑구 신내동 317-6,서울특별시 중랑구 신내로16길 76 107호 (신내동),2053.0,내안에너있DOG,20200800000000.0,I,2019.12.7 22:08,,208768.6285,456722.5584,,,,,,,
20,3100000.0,3.1e+17,20200610.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 노원구 월계동 320-11 월계사슴3단지아파트,서울특별시 노원구 월계로55길 15 301동 8층 807호 (월계동 월계사슴3단지아파트),1865.0,멍타펫택시,20200700000000.0,U,2019.12.7 0:09,,205199.0491,458821.0085,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.473883,126.8942533
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0574034,127.0634264
23,3150000.0,3.15e+17,20210628.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 강서구 등촌동 514-9,서울특별시 강서구 등촌로39길 19 2층 (등촌동),7668.0,뽀도독,20210600000000.0,I,2020.12.5 21:00,,187656.601,449270.9931,,,,,,29.5142789,-98.41141909999999
24,3210000.0,3.21e+17,20200731.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 서초구 방배동 727-3,서울특별시 서초구 사평대로6길 7 예림빌딩 3층 (방배동),6575.0,LAONHAJE(라온하제),20210600000000.0,U,2020.12.5 21:00,,199126.0347,443951.7588,,,,,,37.482905,127.080106
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.482905,127.080106
26,3140000.0,3.14e+17,20200806.0,,1.0,영업/정상,0.0,정상,,,,,226928255,0.0,,서울특별시 양천구 신월동 546-25,서울특별시 양천구 신월로 149 1층 (신월동),8032.0,파란동물병원,20200800000000.0,I,2019.12.8 0:08,,185810.0659,446160.8663,,,,,,37.209489,127.0636379
27,3220000.0,3.22e+17,20190404.0,,1.0,영업/정상,0.0,정상,,,,,02-6053-6052,0.0,,서울특별시 강남구 일원동 719 푸른마을아파트 상가동 102호,서울특별시 강남구 일원로14길 25 상가동 102호 (일원동 푸른마을아파트),6356.0,수정동물병원,20200800000000.0,U,2019.12.8 0:08,,207082.8529,442411.5001,,,,,,,
28,3220000.0,3.22e+17,20190404.0,,1.0,영업/정상,0.0,정상,,,,,02-6053-6052,0.0,,서울특별시 강남구 일원동 719 푸른마을아파트 상가동 102호,서울특별시 강남구 일원로14길 25 상가동 102호 (일원동 푸른마을아파트),6356.0,수정동물병원,20200800000000.0,U,2019.12.8 0:08,,207082.8529,442411.5001,,,,,,,
29,3070000.0,3.07e+17,20200806.0,,1.0,영업/정상,0.0,정상,,,,,02-988-0416,0.0,,서울특별시 성북구 길음동 498-1 래미안길음센터피스,서울특별시 성북구 숭인로 50 1상가동 1층 1120호 (길음동 래미안길음센터피스),2727.0,낭만고양이 성북점,20200800000000.0,U,2019.12.7 23:04,,202363.5735,456453.5292,,,,,,37.6467805,126.8948223
30,3060000.0,3.06e+17,20200826.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 중랑구 신내동 317-6,서울특별시 중랑구 신내로16길 76 107호 (신내동),2053.0,내안에너있DOG,20200800000000.0,I,2019.12.7 22:08,,208768.6285,456722.5584,,,,,,37.4858549,126.9344245
31,3230000.0,3.23e+17,20200831.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 송파구 문정동 620 송파 푸르지오시티,서울특별시 송파구 새말로 62 송파 푸르지오시티 2층 216호 (문정동),5841.0,제이온 펫트리밍,20200800000000.0,I,2019.12.9 0:02,,210654.5062,442070.5757,,,,,,37.4858549,126.9344245
