개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총인원
3160000,3.16E+17,20210114,,1,영업/정상,0,정상,,,,,02-2135-5866,0,,서울특별시 구로구 고척동 50-48,서울특별시 구로구 중앙로10길 7 고척프라자 1층 (고척동),8218,올리브 동물병원,2.02101E+13,I,2020.11.30 23:06,,187798.8693,444629.7048,,,,,
3150000,3.15E+17,20200109,,1,영업/정상,0,정상,,,,,02-3663-2559,0,,서울특별시 강서구 마곡동 784-9 마곡오드카운티2차,서울특별시 강서구 강서로 433 마곡오드카운티2차 (마곡동),7792,레츠개릿,2.02008E+13,U,2019.12.7 23:05,,185775,451367,,,,,
3150000,3.15E+17,20200109,,1,영업/정상,0,정상,,,,,,0,,서울특별시 강서구 마곡동 784-9 마곡오드카운티2차,서울특별시 강서구 강서로 433 마곡오드카운티2차 (마곡동),7792,이펫,2.02008E+13,U,2019.12.7 23:05,,185775,451367,,,,,
3110000,3.11E+17,20200703,,1,영업/정상,0,정상,,,,,,0,,서울특별시 은평구 갈현동 288-52,서울특별시 은평구 갈현로37가길 13-13 (갈현동),3317,우리집고양이,2.02101E+13,U,2020.11.30 23:04,,192286.9604,458131.4393,,,,,
3220000,3.22E+17,20200814,,1,영업/정상,0,정상,,,,,,0,,서울특별시 강남구 율현동 217 강남 한신휴플러스 8단지,서울특별시 강남구 밤고개로27길 20 803동 403호 (율현동 강남 한신휴플러스 8단지),6378,윤명원 펫택시,2.02008E+13,I,2019.12.7 23:06,,209678.8906,440899.4981,,,,,
3210000,3.21E+17,20200814,,1,영업/정상,0,정상,,,,,02-3481-3123,0,,서울특별시 서초구 서초동 1317-11 강남 누드죤빌딩,서울특별시 서초구 서초대로77길 9 강남 누드죤빌딩 4층 (서초동),6615,고양이다락방,2.02008E+13,I,2019.12.7 23:06,,202249.0597,444042.0443,,,,,
3220000,3.22E+17,20200703,,1,영업/정상,0,정상,,,,,02-501-1288,0,,서울특별시 강남구 삼성동 125-6,서울특별시 강남구 테헤란로77길 52 지하1층 (삼성동),6156,에이컷,2.02007E+13,I,2019.12.7 0:05,,204612.0798,445269.5842,,,,,
3080000,3.08E+17,20200703,,1,영업/정상,0,정상,,,,,,0,,서울특별시 강북구 수유동 166-30 백산빌딩,서울특별시 강북구 도봉로101길 71 백산빌딩 1층 (수유동),1052,HeyBokdi,2.02007E+13,I,2019.12.7 0:05,,202336.4082,460255.7705,,,,,
3080000,3.08E+17,20200703,,1,영업/정상,0,정상,,,,,1522-9534,0,,서울특별시 강북구 미아동 198-27 보람빌라트,서울특별시 강북구 솔매로 145-6 401호 (미아동 보람빌라트),1133,타요펫 모빌리티,2.02007E+13,I,2019.12.7 0:05,,202437.7783,458308.1273,,,,,
3140000,3.14E+17,20200703,,1,영업/정상,0,정상,,,,,02-2651-8575,0,,서울특별시 양천구 목동 601-6,서울특별시 양천구 목동중앙북로 37 목3동 1층 (목동),7947,미니주동물병원,2.02007E+13,I,2019.12.7 0:05,,188251.3097,449540.7811,,,,,
