"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3150000","315000001120200018","20201019","","01","영업/정상","0000","정상","","","","","02-2602-5884","","","서울특별시 강서구 화곡동 342-58","서울특별시 강서구 강서로 38 (화곡동)","07760","감초약국","20201019114930","I","2019-10-30 22:01:00.0","","186432.774757847","447685.585859501","","","","",""
"3120000","312000001120200013","20201019","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","서울특별시 서대문구 홍은동 464 북한산 더샵","서울특별시 서대문구 통일로 510 상가동 1층 (홍은동 북한산 더샵)","03615","레몬약국","20201019102749","I","2019-10-30 22:01:00.0","","194748.223077514","454560.084990316","","","","",""
"3070000","307000001120200014","20201019","","01","영업/정상","0000","정상","","","","","02-6095-7645","","","서울특별시 성북구 정릉동 285-12","서울특별시 성북구 보국문로 68 1층 (정릉동)","02711","다온약국","20201019143717","I","2019-10-30 22:01:00.0","","200766.149071849","456458.914448493","","","","",""
"3080000","308000001120200012","20201130","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강북구 미아동 202-12 102호","서울특별시 강북구 도봉로 247 1층 102호 (미아동)","01118","수유시장약국","20201130175533","I","2019-11-02 00:02:00.0","","202064.514392342","458676.996928336","","","","",""
"3000000","300000001120200012","20201130","","01","영업/정상","0000","정상","","","","","","","","서울특별시 종로구 연건동 44-5","서울특별시 종로구 대학로5길 51 (연건동)","03082","서울이약국","20201130081433","I","2019-11-02 00:02:00.0","","200046.202681404","453023.036456577","","","","",""
"3040000","304000001120200011","20201229","","01","영업/정상","0000","정상","","","","","024566155","","","서울특별시 광진구 광장동 463-3 101호","서울특별시 광진구 아차산로 532 1층 101호 (광장동)","04974","명약국","20201229135003","I","2019-11-01 21:01:00.0","","208808.837959863","448909.278896127","","","","",""
"3220000","322000001120140010","20141217","","03","폐업","0002","폐업","20160222","","","","02-578-8767","0","","서울특별시 강남구 개포동 158-12번지 JS빌딩 1층 ","서울특별시 강남구 선릉로 26 1층 (개포동 JS빌딩)","06325","큰약국","20160222151909","I","2018-08-31 23:59:59.0","","205368.40904389     ","442230.936328995    ","동물약국","","","000",""
"3220000","322000001120050008","20050914","","03","폐업","0002","폐업","20120321","","","","02-515-3800","0","","서울특별시 강남구 신사동 533-3   번지 ","","","행복한미래약국","20120321132301","I","2018-08-31 23:59:59.0","","","","동물약국","","","000",""
"3220000","322000001120050007","20050914","","03","폐업","0002","폐업","20100628","","","","02-558-0533","0","","서울특별시 강남구 역삼동 765번지 ","서울특별시 강남구 도곡로57길 18 (역삼동)","","호세약국","20100628201351","I","2018-08-31 23:59:59.0","","204430.31601235     ","443860.359158766    ","동물약국","","","000",""
"3220000","322000001120050006","20050506","","03","폐업","0002","폐업","20070208","","","","02-578-8791","0","","서울특별시 강남구 도곡동 544번지 신호빌딩 107호 ","서울특별시 강남구 도곡로 184 (도곡동신호빌딩 107호)","","행복한온누리약국","20070208161224","I","2018-08-31 23:59:59.0","","203448.306446436    ","443277.117782268    ","동물약국","","","000",""
