"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3220000","322000003420200001","20200609","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강남구 삼성동 38-30 청림빌딩","서울특별시 강남구 봉은사로 415 청림빌딩 지하1층 (삼성동)","06097","펫스튜어드","20210120110406","U","2020-11-30 22:02:00.0","단미","203961.288934147","445431.551361618","","","","",""
"3040000","304000003420190005","20191101","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 광진구 중곡동 635-2번지 ","서울특별시 광진구 천호대로101길 6 2층 (중곡동)","04920","트릿테이블","20191101133052","I","2019-11-29 00:23:27.0","배합","206544.195734809    ","450814.038703344    ","사료제조업","배합","","000",""
"3040000","304000003420150001","20150720","","03","폐업","0002","폐업","20161104","","","","070-7755-7100","0","","서울특별시 광진구 화양동 111-102번지 ","서울특별시 광진구 광나루로 382 지1층 (화양동 우성빌딩)","05009","마리엔젤","20161104142621","I","2018-08-31 23:59:59.0","단미","206299.113452403    ","449469.927209058    ","사료제조업","단미","","000",""
"3040000","304000003420140001","20140327","","03","폐업","0002","폐업","20160329","","","","","0","","서울특별시 광진구 군자동 157-3번지 ","서울특별시 광진구 동일로56길 38 1층 좌측호 (군자동)","04999","베지프","20160329143710","I","2018-08-31 23:59:59.0","배합","206477.194471375    ","450364.921685586    ","사료제조업","배합","","000",""
"3040000","304000003420110002","20111206","","03","폐업","0002","폐업","20131230","","","","","","","서울특별시 광진구 구의동 222-15번지 ","서울특별시 광진구 구의로 35 (구의동)","","트리앤버드","20131230104426","I","2018-08-31 23:59:59.0","배합","207851.95679157     ","448758.341759092    ","사료제조업","배합","","000",""
"3040000","304000003420110001","20110822","","03","폐업","0002","폐업","20171013","","","","","","","서울특별시 광진구 중곡동 34-31번지 101호","서울특별시 광진구 긴고랑로19길 36 101호 (중곡동)","","뽀리","20171013151626","I","2018-08-31 23:59:59.0","단미","207434.577406789    ","451186.118461099    ","사료제조업","단미","","000",""
"3040000","304000003420100001","20100415","","03","폐업","0002","폐업","20140825","","","","2201-9523","","","서울특별시 광진구 중곡동 119-7번지 4층 ","서울특별시 광진구 천호대로 623-1 (중곡동4층)","","옥성코리아(주)","20140825102639","I","2018-08-31 23:59:59.0","단미","207624.556805359    ","450257.044484869    ","사료제조업","단미","","000",""
"3040000","304000003420170001","20170124","","03","폐업","0002","폐업","20171201","","","","","0","","","서울특별시 광진구 자양강변길 249 (자양동)","05095","판타펫 코리아","20171201152014","I","2018-08-31 23:59:59.0","배합","206325.793705231    ","447576.278315764    ","사료제조업","배합","","000",""
"3040000","304000003420150002","20150720","","03","폐업","0002","폐업","20180514","","","","070-4214-7700","0","","서울특별시 광진구 중곡동 47-13번지 101호","서울특별시 광진구 능동로42길 5 101호 (중곡동)","04927","봉쥬르 고양이","20180514110404","I","2018-08-31 23:59:59.0","단미","207118.570885744    ","450817.562959973    ","사료제조업","단미","","000",""
"3050000","305000003420190001","20190826","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 동대문구 제기동 1019번지 경동시장 ","서울특별시 동대문구 고산자로36길 3 경동시장 신관 3층 70113호 (제기동)","02571","투테일스","20200416140317","U","2020-04-18 02:40:00.0","단미","203403.019535366    ","452985.725419514    ","사료제조업","단미","","000",""
