,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,위도,경도
0,3170000.0,3.17e+17,20180410.0,,1.0,영업/정상,0.0,정상,,,,,802-2811,227.32,,서울특별시 금천구 시흥동 904-6 서우빌딩,서울특별시 금천구 시흥대로 172 서우빌딩 (시흥동),8631.0,더조은 동물의료센터,37.4494769,126.9032992
1,3040000.0,3.04e+17,20030926.0,,1.0,영업/정상,0.0,정상,,,,,457-4545,125.4,,서울특별시 광진구 구의동 68-37,서울특별시 광진구 광나루로 507 (구의동),4976.0,광진동물의료센터,37.5451924,127.0859286
2,3220000.0,3.22e+17,20210408.0,,1.0,영업/정상,0.0,정상,,,,,02-2237-7582,,,서울특별시 강남구 청담동 46 베디베로스퀘어,서울특별시 강남구 삼성로133길 7 베디베로스퀘어 5층 (청담동),6068.0,놀로동물행동클리닉,37.5119502,127.0991021
3,3090000.0,3.09e+17,20190410.0,,1.0,영업/정상,0.0,정상,,,,,3491-8000,,,서울특별시 도봉구 방학동 680-1번지 1층,서울특별시 도봉구 도봉로 669 1층 (방학동),1346.0,현대종합동물병원,37.6641938,127.0422642
4,3130000.0,3.13e+17,20000211.0,,1.0,영업/정상,0.0,정상,,,,,02-325-2026,0.0,,서울특별시 마포구 합정동 411-18번지,서울특별시 마포구 독막로 45 (합정동),4047.0,홍익동물종합병원,37.5480536,126.9183675
5,3010000.0,3.01e+17,20190801.0,,1.0,영업/정상,0.0,정상,,,,,02-6965-7502,0.0,,서울특별시 중구 을지로5가 133-1번지 뉴천지관광호텔,서울특별시 중구 을지로38길 20 뉴천지관광호텔 2층 (을지로5가),4561.0,헬릭스동물심장수술센터,37.5659043,127.0033344
6,3010000.0,3.01e+17,20190801.0,,1.0,영업/정상,0.0,정상,,,,,02-6956-7502,,,서울특별시 중구 을지로5가 133-1번지 뉴천지관광호텔,서울특별시 중구 을지로38길 20 뉴천지관광호텔 1층 (을지로5가),4561.0,헬릭스동물암센터,37.5659043,127.0033344
7,3010000.0,3.01e+17,20190801.0,,1.0,영업/정상,0.0,정상,,,,,02-6956-7502,,,서울특별시 중구 을지로5가 133-1번지 뉴천지관광호텔,서울특별시 중구 을지로38길 20 뉴천지관광호텔 1층 (을지로5가),4561.0,서울동물영상종양센터,37.5659043,127.0033344
8,3100000.0,3.1e+17,20180403.0,,1.0,영업/정상,0.0,정상,,20191213.0,20200430.0,,02-949-0975,0.0,,서울특별시 노원구 월계동 333-1번지 월계이마트,서울특별시 노원구 마들로3길 15 월계이마트 2층 (월계동),1906.0,웰니스 동물병원,37.6265118,127.0619079
9,3220000.0,3.22e+17,20210904.0,,1.0,영업/정상,0.0,정상,,,,,02-577-7579,,,서울특별시 강남구 개포동 1281 디에이치아너힐즈,서울특별시 강남구 삼성로 11 상가동 103104호 (개포동 디에이치아너힐즈),6327.0,다랑동물병원,37.4844006,127.0682439
10,3210000.0,3.21e+17,20000711.0,,1.0,영업/정상,0.0,정상,,,,,02-3444-7509,288.16,,서울특별시 서초구 반포동 722-29,서울특별시 서초구 강남대로 525-3 (반포동),6536.0,라파엘동물병원,37.5087505,127.0219251
11,3110000.0,3.11e+17,20060126.0,,1.0,영업/정상,0.0,정상,,,,,354-0975,4717.94,,서울특별시 은평구 구산동 1-1번지,서울특별시 은평구 연서로 137 (구산동),3412.0,로얄동물병원,37.6111396,126.9169368
12,3080000.0,3.08e+17,20150605.0,,1.0,영업/정상,0.0,정상,,,,,02-984-7588,36.44,,서울특별시 강북구 미아동 1357-6번지 미아프라자 106호,서울특별시 강북구 삼양로27길 35-21 미아프라자 106호 (미아동),1196.0,H 동물병원,37.6179181,127.0188808
13,3000000.0,3e+17,20021025.0,,1.0,영업/정상,0.0,정상,,,,,391-4575,46.22,,서울특별시 종로구 홍지동 127-7번지 5통5반 지층 3호,서울특별시 종로구 자하문로 293 (홍지동),3021.0,북악동물병원,37.601247,126.9562041
14,3000000.0,3e+17,20060327.0,,1.0,영업/정상,0.0,정상,,,,,3917502,0.0,,서울특별시 종로구 홍지동 126-8번지 ,서울특별시 종로구 자하문로 305 (홍지동),,올리브동물병원,37.599183,126.9607239
15,3000000.0,3e+17,20130514.0,,4.0,취소/말소/만료/정지/중지,4.0,말소,,,,,379-7575,0.0,,서울특별시 종로구 신영동 249-6번지 ,서울특별시 종로구 진흥로 473 (신영동),3007.0,월드펫동물병원,37.6062496,126.9605056
16,3070000.0,3.07e+17,20090414.0,,1.0,영업/정상,0.0,정상,,,,,953-0075,266.58,,서울특별시 성북구 동소문동6가 3-1 1층,서울특별시 성북구 동소문로 73 1층 (동소문동6가 시티플레이스),2830.0,VIP 동물의료센터,37.5920455,127.0131678
17,3210000.0,3.21e+17,20150602.0,,1.0,영업/정상,0.0,정상,,,,,02-2135-9119,1447.31,,서울특별시 서초구 반포동 19-1 르본시티 2층,서울특별시 서초구 신반포로 162 (반포동 르본시티 2층),6546.0,헬릭스동물메디컬센터,37.5049039,127.0022467
18,3220000.0,3.22e+17,20210406.0,,1.0,영업/정상,0.0,정상,,,,,02-511-7522,,,서울특별시 강남구 청담동 46 베디베로스퀘어,서울특별시 강남구 삼성로133길 7 베디베로스퀘어 234층 (청담동),6068.0,VIP동물의료센터 청담점,37.5119502,127.0991021
19,3200000.0,3.2e+17,20160411.0,,1.0,영업/정상,0.0,정상,,,,,02-887-1575,228.9,,서울특별시 관악구 신림동 10-631,서울특별시 관악구 남부순환로 1678 1 2층 (신림동),8780.0,이로동물의료센터,37.4841897,126.936817
20,3060000.0,3.06e+17,20201109.0,,1.0,영업/정상,0.0,정상,,,,,949-7577,0.0,,서울특별시 중랑구 묵동 238-8 하태윤산부인과,서울특별시 중랑구 동일로 925 3층 (묵동),2005.0,치료해 주오,37.6129458,127.076844
21,3000000.0,3e+17,20010604.0,,4.0,취소/말소/만료/정지/중지,4.0,말소,,,,,732-3827,0.0,,서울특별시 종로구 효자동 31번지 ,서울특별시 종로구 자하문로 66-2 (효자동),3042.0,효자동물병원,37.5836536,126.9724465
22,,,,,,,,,,,,,,,,,,,,37.5836536,126.9724465
23,,,,,,,,,,,,,,,,,,,,37.5836536,126.9724465
24,,,,,,,,,,,,,,,,,,,,37.5836536,126.9724465
25,,,,,,,,,,,,,,,,,,,,37.5836536,126.9724465
26,,,,,,,,,,,,,,,,,,,,37.5843639,126.9681153
27,,,,,,,,,,,,,,,,,,,,37.5854975,126.9993852
28,,,,,,,,,,,,,,,,,,,,37.4911149,126.8395931
29,3000000.0,3e+17,20130304.0,,2.0,휴업,1.0,휴업,,,,,732-3827,0.0,,서울특별시 종로구 효자동 31번지 ,서울특별시 종로구 자하문로 66-2 (효자동),3042.0,효자동물병원,37.5748642,127.0155003
30,,,,,,,,,,,,,,,,,,,,37.5757539,126.9710573
31,3000000.0,3e+17,20010604.0,,2.0,휴업,1.0,휴업,,,,,732-3827,0.0,,서울특별시 종로구 효자동 31번지 ,서울특별시 종로구 자하문로 66-2 (효자동),3042.0,효자동물병원,37.5786667,127.0156223
32,3000000.0,3e+17,20010604.0,,2.0,휴업,1.0,휴업,,,,,732-3827,0.0,,서울특별시 종로구 효자동 31번지 ,서울특별시 종로구 자하문로 66-2 (효자동),3042.0,효자동물병원,37.6059928,126.9608104
33,3000000.0,3e+17,20130304.0,,2.0,휴업,1.0,휴업,,,,,7323827,0.0,,서울특별시 종로구 효자동 31번지 ,서울특별시 종로구 자하문로 66-2 (효자동),3042.0,효자동물병원,37.5598189,126.9946111
34,3000000.0,3e+17,20200517.0,,1.0,영업/정상,0.0,정상,,,,,02-733-6030,326.5,,서울특별시 종로구 신교동 70-10번지 ,서울특별시 종로구 자하문로 95 신교빌딩 1층 (신교동),3032.0,선동물병원,37.5542127,127.0114373
35,3000000.0,3e+17,19950905.0,,1.0,영업/정상,0.0,정상,,,,,3672-8441,53.7,,서울특별시 종로구 명륜2가 5-99번지 1통3반 방산빌라 402호,서울특별시 종로구 창경궁로 261 (명륜2가),3075.0,대학로동물병원,37.5625637,127.0008558
36,3160000.0,3.16e+17,20210906.0,,1.0,영업/정상,0.0,정상,,,,,02-2687-7582,,,서울특별시 구로구 항동 121-1 203 204호,서울특별시 구로구 서해안로 2096 203 204호 (항동),8368.0,클로버 동물병원,37.5612583,127.0147994
37,3000000.0,3e+17,20011211.0,,1.0,영업/정상,0.0,정상,,,,,02-744-9098,0.0,,서울특별시 종로구 창신동 80-1,서울특별시 종로구 지봉로 53-1 (창신동),,해동물병원,37.55362520000001,127.0096026
38,3000000.0,3e+17,20090708.0,,1.0,영업/정상,0.0,정상,,,,,02-735-7530,45.0,,서울특별시 종로구 내자동 125-3번지 ,서울특별시 종로구 사직로12길 2 (내자동),,누리봄동물병원,37.5502221,127.0104118
39,3000000.0,3e+17,20080306.0,,1.0,영업/정상,0.0,정상,,,,,3676-1190,42.58,,서울특별시 종로구 숭인동 52-8번지 ,서울특별시 종로구 지봉로 96-3 (숭인동),,우리동물병원,37.5622705,126.996153
40,,,,,,,,,,,,,,,,,,,,37.5604784,127.0190886
41,,,,,,,,,,,,,,,,,,,,37.5544511,126.9662129
