,Unnamed: 0,관할구역,보호센터명,전화번호,보호센터주소,위도,경도
0,0,대구광역시 수성구,(사)대구수의사회,053-764-3708,대구광역시 북구 호국로 229 (서변동) 6층,35.922346,128.5990394
1,1,대구광역시 중구,(사)대구시수의사회,053-764-3708,대구광역시 북구 호국로 229 (서변동) 대구경북수의사회관 6층,35.922346,128.5990394
2,2,부산광역시 사하구,(사)하얀비둘기,051-293-9779,부산광역시 강서구 제도로 726 (강동동),41.7629586,-76.8884225
3,3,대구광역시 달성군,119동물병원,053-585-1195,"대구광역시 달성군 다사읍 달구벌대로 893 (다사읍, 대실요양병원 장례식장) 다사읍 관할",33.2475922,-111.6231807
4,4,서울특별시 용산구,21세기동물병원,02-749-6750,서울특별시 용산구 보광동 259-1,37.1930977,127.0733401
5,5,경기도 부천시,24시아이동물메디컬,032-677-5262,경기도 부천시 오정구 원종동 229-8,37.5256287,126.8045364
6,6,서울특별시 마포구,C.T종합동물병원,02-6375-0075,"서울특별시 마포구 만리재로 74 (신공덕동, 신공덕2차삼성래미안) 삼성 래미안상가 117호",37.546615,126.9574725
7,7,서울특별시 강동구,GD동물병원,02-429-8822,서울특별시 강동구 상일로 13 (상일동) 1~2층 GD동물병원,37.5482102,127.1730939
8,8,울산광역시 울주군,MK동물병원,052-237-2475,울산광역시 울주군 온산읍 덕신로 250 (온산읍),37.8238137,-122.0039681
9,9,경기도 부천시,cj동물병원,032-323-4999,"경기도 부천시 소향로 246 (중동, 새롬프라자6차)",36.2533046,-115.1527828
10,10,경기도 부천시,가나동물병원,032-665-0075,경기도 부천시 경인로 72 (송내동),40.0185127,-82.882952
11,11,경기도 파주시,가온동물병원,031-945-7552,경기도 파주시 가온로 116 (목동동),40.7595321,-73.7734396
12,12,인천광역시 서구,가정동물병원,032-575-0833,인천광역시 서구 가정로 346 (가정동),37.5155912,126.672973
13,13,경기도 가평군,가평군유기동물보호소,031-580-4788,"경기도 가평군 가평읍 아랫마장길 59 (가평읍, 농업기술센터) 가평 유기동물 보호소(10:00~18:00)",37.870134,126.98335
14,14,대구광역시 수성구,감자동물병원,053-795-5589,대구광역시 수성구 달구벌대로 3179 (매호동) 1층,35.8412826,128.7047423
15,15,울산광역시 남구,강남동물병원,052-271-0075,울산광역시 남구 돋질로 232 (달동) 1층,37.507793,127.0344379
16,16,서울특별시 강동구,강동구청 반려동물팀,02-3425-6015,"서울특별시 강동구 성내로 25 (성내동, 강동구청) 강동구청",37.5298053,127.1365795
17,17,서울특별시 강동구,강동리본센터(reborn),070-4163-7350,서울특별시 강동구 양재대로81길 73 (성내동) 강동구 유기동물 분양센터(reborn),37.5238281,127.1302496
18,18,강원도 강릉시,강릉시동물사랑센터,033-641-7515,강원도 강릉시 성산면 내맬길 172,37.6988702,128.8293682
19,19,전라남도 강진군,강진군 유기견 보호소,061-430-3613,"전라남도 강진군 강진읍 초지길 109-62 (강진읍, 강진군상하수도사업소)",34.5693613,126.6062777
20,20,서울특별시 양천구,강현림동물병원,02-2642-9159,서울특별시 양천구 등촌로 160 (목동) 1층,37.5439796,126.8624166
21,21,경상남도 거제시,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",35.1194157,128.4682829
22,22,인천광역시 중구,경동동물병원,032-765-9988,인천광역시 중구 개항로 68 (경동),37.4722068,126.6294507
23,23,인천광역시 동구,경동동물병원,032-765-9988,인천광역시 중구 개항로 68 (경동),37.4722068,126.6294507
24,24,경상북도 경산시,경산시유기동물보호소,***********,경상북도 경산시 용성면 사양지길 95 (용성면),35.838049,128.563137
25,25,경상북도 경주시,경주시유기동물보호소,***********,경상북도 경주시 용담로 12 (황성동),35.8397702,129.1842935
26,26,충청남도 계룡시,계룡시유기동물보호소,***********,충청남도 계룡시 엄사면 천마로 12,36.4588151,127.383038
27,27,경상남도 고성군,고성군유기동물보호소,055-670-4314,경상남도 고성군 고성읍 남해안대로 2829-60 고성군농업기술센터 동물보호센터,35.1194157,128.4682829
28,28,경기도 고양시,고양시동물보호센터,031-962-3232,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",37.64892529999999,126.8702027
29,29,전라북도 고창군,고창동물병원,063-561-0561,전라북도 고창군 무장면 원금곡길 13,35.4355654,126.6944703
30,30,전라남도 고흥군,고흥군임시보호센터,***********,"전라남도 고흥군 포두면 우주로 607 (포두면, 소매점)",34.6218111,127.294795
31,31,경기도 광명시,광명반함센터,02-2680-5001,경기도 광명시 오리로854번길 10 (철산동) 지하1층,37.4784878,126.8642888
32,32,전라남도 광양시,광양시 임시보호소,061-797-3386,전라남도 광양시 봉강면 인덕로 1169-20 (봉강면) 지곡리 864-24,34.7737186,127.7201752
33,33,광주광역시 동구,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,35.2224503,126.8816669
34,34,광주광역시 서구,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,35.2224503,126.8816669
35,35,광주광역시 남구,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,35.2224503,126.8816669
36,36,광주광역시 북구,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,35.2224503,126.8816669
37,37,광주광역시 광산구,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주공역시 동물보호소,35.2224503,126.8816669
38,38,경기도 광주시,광주TNR동물병원송정,031-798-7583,경기도 광주시 경안천로 144 (송정동) 1층,35.1797524,126.809108
39,39,경기도 광주시,광주TNR동물병원초월,031-798-7581,경기도 광주시 초월읍 현산로385번길 74-12 (초월읍),37.3778631,127.2538442
40,40,경상북도 구미시,구미시 동물보호센터,054-471-5718,경상북도 구미시 해평면 낙동대로 2206,36.138712,128.418994
41,41,전라북도 군산시,군산유기동물보호센터,063-451-2975,전라북도 군산시 대야면 보덕안정길 108-20,35.9605092,126.8157793
42,42,서울특별시 용산구,금강동물병원,02-798-7512,서울특별시 용산구 이촌동 301-160,35.9797546,126.719097
43,43,대구광역시 수성구,금강동물병원,053-746-7111,대구광역시 수성구 동원로 150 (만촌동) 금강동물병원,35.9797546,126.719097
44,44,경기도 파주시,금릉동물병원,031-948-3375,"경기도 파주시 금빛로 19 (금촌동, 파주프라임타워)",37.7514372,126.7661843
45,45,경상북도 김천시,김천시 동물보호센터,***********,경상북도 김천시 조마로 2128 (양천동),36.4588151,127.383038
46,46,경기도 파주시,나은동물병원,031-944-8288,경기도 파주시 새꽃로 207 (아동동) 나은동물병원,37.7651781,128.8770946
47,47,전라남도 나주시,나주유기동물보호센터,***********,전라남도 나주시 산포면 내기3길 71-43 [*미고시],35.2224503,126.8816669
48,48,충청남도 부여군,남부여동물병원,041-837-8275,충청남도 부여군 부여읍 성왕로 190-1 남부여동물병원,36.2810005,126.9086584
49,49,서울특별시 용산구,남산동물병원,02-778-7582,서울특별시 용산구 후암동 244-60,37.5483938,126.9779995
50,50,울산광역시 남구,남산동물병원,052-224-8275,울산광역시 남구 북부순환도로 40 (무거동),37.5483938,126.9779995
51,51,경기도 화성시,남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27 (남양읍),37.2246939,126.8431367
52,52,경기도 남양주시,남양주동물보호협회,031-591-7270,"경기도 남양주시 금곡로 44 (금곡동, 성원빌딩) 1층",37.6488308,127.2353582
53,53,경상남도 남해군,남해군유기동물보호소,055-862-5041,경상남도 남해군 이동면 무림로 33-13 (이동면),34.8027119,127.9524813
54,54,서울특별시 노원구,노원반려동물문화센터,02-933-8500,"서울특별시 노원구 수락산로 258 (상계동, 호성빌딩) 1층",38.8985658,-77.04428419999999
55,55,충청남도 논산시,논산시청,041-746-6109,충청남도 논산시 시민로210번길 9 (내동),36.187159,127.0988903
56,56,부산광역시 동래구,누리동물병원,051-701-7599,부산광역시 해운대구 송정2로13번길 46 (송정동) 누리동물병원,35.1965674,129.205997
57,57,부산광역시 남구,누리동물병원,051-701-7599,부산광역시 해운대구 송정동 85-1,35.1965674,129.205997
58,58,부산광역시 금정구,누리동물병원,051-701-7599,부산광역시 해운대구 송정2로13번길 46 (송정동),35.1965674,129.205997
59,59,부산광역시 수영구,누리동물병원,051-701-7599,부산광역시 해운대구 송정2로13번길 46 (송정동),35.1965674,129.205997
60,60,경상남도 김해시,누리동물병원,051-701-7599,부산광역시 해운대구 송정2로13번길 46 (송정동),35.1965674,129.205997
61,61,인천광역시 부평구,늘푸른동물병원,032-507-0075,인천광역시 부평구 후정동로 60 (삼산동),37.5982252,126.9109657
62,62,강원도 정선군,다나동물병원,033-563-6563,강원도 정선군 정선읍 비봉로 46,37.5485652,126.8366234
63,63,충청북도 단양군,단양군유기동물보호소,***********,충청북도 단양군 매포읍 우덕리 910번지,37.0089381,127.8496841
64,64,대구광역시 달성군,달성축산동물병원,053-614-3775,대구광역시 달성군 현풍면 원교길 6 (현풍면),35.6745771,128.4458225
65,65,전라남도 담양군,담양군 동물보호센터,***********,전라남도 담양군 용면 시암골로 280-57 (용면) :용면 두장리 21번지,35.2224503,126.8816669
66,66,충청남도 당진시,당진시동물보호소,041-356-8210,충청남도 당진시 고대면 연동로 30-6 (고대면),36.9026305,126.6884595
67,67,대구광역시 달성군,대구수의사회(달성군),053-764-3708,대구광역시 북구 호국로 229 (서변동),35.922346,128.5990394
68,68,대구광역시 서구,대구수의사회(아이펫),053-573-1175,대구광역시 서구 서대구로 64 (평리동),35.8638288,128.5565623
69,69,대구광역시 동구,대구시수의사회,053-764-3708,대구광역시 북구 호국로 229 (서변동) 대구경북수의사회관 6층,35.922346,128.5990394
70,70,대구광역시 중구,대구시수의사회(고려),053-256-6100,대구광역시 중구 중앙대로 333 (남산동),35.878846,128.7359468
71,71,대구광역시 서구,대구시수의사회(더난),053-552-0075,대구광역시 서구 국채보상로 176 (중리동),35.922346,128.5990394
72,72,대구광역시 서구,대구시수의사회(더펫),070-4293-0622,대구광역시 서구 서대구로 361 (비산동) 2층,35.922346,128.5990394
73,73,대구광역시 중구,대구시수의사회(동산),053-254-3366,대구광역시 중구 남성로 서성로 34 (남성로),35.922346,128.5990394
74,74,대구광역시 중구,대구시수의사회(동인),070-4466-1575,대구광역시 중구 동인동4가 국채보상로 724,35.922346,128.5990394
75,75,대구광역시 서구,대구시수의사회(보경),053-559-9020,대구광역시 서구 달서로 165 (비산동),35.922346,128.5990394
76,76,대구광역시 중구,대구시수의사회(삼덕),053-426-1731,대구광역시 중구 삼덕동1가 달구벌대로 2145,35.878846,128.7359468
77,77,대구광역시 서구,대구시수의사회(삼성),053-556-8575,대구광역시 서구 서대구로 24 (내당동),35.878846,128.7359468
78,78,대구광역시 중구,대구시수의사회(원),053-255-8275,대구광역시 중구 동덕로8길 2 (대봉동),35.922346,128.5990394
79,79,대구광역시 동구,대구유기동물보호센터,053-964-6258,대구광역시 동구 금강로 151-13 (금강동),35.838049,128.563137
80,80,대구광역시 남구,대구유기동물보호센터,053-964-6258,대구광역시 동구 금강로 151-13 (금강동),35.838049,128.563137
81,81,대구광역시 북구,대구유기동물보호센터,053-964-6258,대구광역시 동구 금강로 151-13 (금강동),35.838049,128.563137
82,82,대구광역시 달서구,대구유기동물보호센터,053-964-6258,대구광역시 동구 금강로 151-13 (금강동),35.838049,128.563137
83,83,대전광역시 동구,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,36.4588151,127.383038
84,84,대전광역시 중구,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,36.4588151,127.383038
85,85,대전광역시 서구,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,36.4588151,127.383038
86,86,대전광역시 유성구,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,36.4588151,127.383038
