,name,lat,lng,address,type
0,(사)대구수의사회,35.922346,128.5990394,대구광역시 북구 호국로 229 (서변동) 6층,동물보호센터
1,(사)대구시수의사회,35.922346,128.5990394,대구광역시 북구 호국로 229 (서변동) 대구경북수의사회관 6층,동물보호센터
2,(사)하얀비둘기,41.7629586,-76.8884225,부산광역시 강서구 제도로 726 (강동동),동물보호센터
3,119동물병원,33.2475922,-111.6231807,"대구광역시 달성군 다사읍 달구벌대로 893 (다사읍, 대실요양병원 장례식장) 다사읍 관할",동물보호센터
4,21세기동물병원,37.1930977,127.0733401,서울특별시 용산구 보광동 259-1,동물보호센터
5,24시아이동물메디컬,37.5256287,126.8045364,경기도 부천시 오정구 원종동 229-8,동물보호센터
6,C.T종합동물병원,37.546615,126.9574725,"서울특별시 마포구 만리재로 74 (신공덕동, 신공덕2차삼성래미안) 삼성 래미안상가 117호",동물보호센터
7,GD동물병원,37.5482102,127.1730939,서울특별시 강동구 상일로 13 (상일동) 1~2층 GD동물병원,동물보호센터
8,MK동물병원,37.8238137,-122.0039681,울산광역시 울주군 온산읍 덕신로 250 (온산읍),동물보호센터
9,cj동물병원,36.2533046,-115.1527828,"경기도 부천시 소향로 246 (중동, 새롬프라자6차)",동물보호센터
10,가나동물병원,40.0185127,-82.882952,경기도 부천시 경인로 72 (송내동),동물보호센터
11,가온동물병원,40.7595321,-73.7734396,경기도 파주시 가온로 116 (목동동),동물보호센터
12,가정동물병원,37.5155912,126.672973,인천광역시 서구 가정로 346 (가정동),동물보호센터
13,가평군유기동물보호소,37.870134,126.98335,"경기도 가평군 가평읍 아랫마장길 59 (가평읍, 농업기술센터) 가평 유기동물 보호소(10:00~18:00)",동물보호센터
14,감자동물병원,35.8412826,128.7047423,대구광역시 수성구 달구벌대로 3179 (매호동) 1층,동물보호센터
15,강남동물병원,37.507793,127.0344379,울산광역시 남구 돋질로 232 (달동) 1층,동물보호센터
16,강동구청 반려동물팀,37.5298053,127.1365795,"서울특별시 강동구 성내로 25 (성내동, 강동구청) 강동구청",동물보호센터
17,강동리본센터(reborn),37.5238281,127.1302496,서울특별시 강동구 양재대로81길 73 (성내동) 강동구 유기동물 분양센터(reborn),동물보호센터
18,강릉시동물사랑센터,37.6988702,128.8293682,강원도 강릉시 성산면 내맬길 172,동물보호센터
19,강진군 유기견 보호소,34.5693613,126.6062777,"전라남도 강진군 강진읍 초지길 109-62 (강진읍, 강진군상하수도사업소)",동물보호센터
20,강현림동물병원,37.5439796,126.8624166,서울특별시 양천구 등촌로 160 (목동) 1층,동물보호센터
21,거제시유기동물보호소,35.1194157,128.4682829,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",동물보호센터
22,경동동물병원,37.4722068,126.6294507,인천광역시 중구 개항로 68 (경동),동물보호센터
23,경동동물병원,37.4722068,126.6294507,인천광역시 중구 개항로 68 (경동),동물보호센터
24,경산시유기동물보호소,35.838049,128.563137,경상북도 경산시 용성면 사양지길 95 (용성면),동물보호센터
25,경주시유기동물보호소,35.8397702,129.1842935,경상북도 경주시 용담로 12 (황성동),동물보호센터
26,계룡시유기동물보호소,36.4588151,127.383038,충청남도 계룡시 엄사면 천마로 12,동물보호센터
27,고성군유기동물보호소,35.1194157,128.4682829,경상남도 고성군 고성읍 남해안대로 2829-60 고성군농업기술센터 동물보호센터,동물보호센터
28,고양시동물보호센터,37.64892529999999,126.8702027,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",동물보호센터
29,고창동물병원,35.4355654,126.6944703,전라북도 고창군 무장면 원금곡길 13,동물보호센터
30,고흥군임시보호센터,34.6218111,127.294795,"전라남도 고흥군 포두면 우주로 607 (포두면, 소매점)",동물보호센터
31,광명반함센터,37.4784878,126.8642888,경기도 광명시 오리로854번길 10 (철산동) 지하1층,동물보호센터
32,광양시 임시보호소,34.7737186,127.7201752,전라남도 광양시 봉강면 인덕로 1169-20 (봉강면) 지곡리 864-24,동물보호센터
33,광주 동물보호소,35.2224503,126.8816669,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,동물보호센터
34,광주 동물보호소,35.2224503,126.8816669,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,동물보호센터
35,광주 동물보호소,35.2224503,126.8816669,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,동물보호센터
36,광주 동물보호소,35.2224503,126.8816669,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,동물보호센터
37,광주 동물보호소,35.2224503,126.8816669,광주광역시 북구 본촌마을길 27 (본촌동) 광주공역시 동물보호소,동물보호센터
38,광주TNR동물병원송정,35.1797524,126.809108,경기도 광주시 경안천로 144 (송정동) 1층,동물보호센터
39,광주TNR동물병원초월,37.3778631,127.2538442,경기도 광주시 초월읍 현산로385번길 74-12 (초월읍),동물보호센터
40,구미시 동물보호센터,36.138712,128.418994,경상북도 구미시 해평면 낙동대로 2206,동물보호센터
41,군산유기동물보호센터,35.9605092,126.8157793,전라북도 군산시 대야면 보덕안정길 108-20,동물보호센터
42,금강동물병원,35.9797546,126.719097,서울특별시 용산구 이촌동 301-160,동물보호센터
43,금강동물병원,35.9797546,126.719097,대구광역시 수성구 동원로 150 (만촌동) 금강동물병원,동물보호센터
44,금릉동물병원,37.7514372,126.7661843,"경기도 파주시 금빛로 19 (금촌동, 파주프라임타워)",동물보호센터
45,김천시 동물보호센터,36.4588151,127.383038,경상북도 김천시 조마로 2128 (양천동),동물보호센터
46,나은동물병원,37.7651781,128.8770946,경기도 파주시 새꽃로 207 (아동동) 나은동물병원,동물보호센터
