,번호,인증번호,농장명,농장소재지,인증품목,인증날짜,사육시설,사육규모(마리),자유방목
0,350,동물복지-13-11-3-1,태양농장,충청남도청양군,육계,2021-10-01,"3동 4,939.2㎡",93843,X
1,349,동물복지-15-09-1-1,영농조합법인 한나수목원,전라남도고흥군,산란계,2021-09-28,"3동 2,932.95㎡",16900,O
2,348,동물복지-13-06-1-2,알로만농장,충청남도논산시,산란계,2021-09-28,"3동 2,724㎡",18900,X
3,347,동물복지-12-10-1-5,농업회사법인(주)조하 삼성지점,충청북도음성군,산란계,2021-09-14,"12동 14,385.6㎡",107298,X
4,346,동물복지-14-04-6-2,세원농장,전라북도정읍시,젖소,2021-09-08,"2동 3,433.53㎡",155,X
5,345,동물복지-14-04-6-1,용목장,전라북도정읍시,젖소,2021-09-08,"4동 3,202.61㎡",115,X
6,344,동물복지-13-06-1-1,양촌농원,충청남도논산시,산란계,2021-09-06,"7동 3,348.42㎡",25584,O
7,343,동물복지-17-19-1-3,농업회사법인(주)용문산골농장,경상남도거창군,산란계,2021-08-23,"3동 3,780㎡",23418,X
8,342,동물복지-13-07-1-1,천금농장,충청남도금산군,산란계,2021-08-10,"2동 2,861㎡",20000,X
9,341,동물복지-15-18-3-6,에덴농장,전라남도영광군,육계,2021-07-19,"4동 5,170㎡",83270,X
10,340,동물복지-15-18-3-5,정매자2농장,전라남도영광군,육계,2021-07-15,"3동 4,566㎡",80410,X
11,339,동물복지-15-18-3-4,반석농장,전라남도영광군,육계,2021-07-15,"3동 5,097㎡",88584,X
12,338,동물복지-14-13-6-1,승수목장,전라북도고창군,젖소,2021-07-14,"2동 3,988.4㎡",190,X
13,337,동물복지-14-05-3-10,우리두리농장,전라북도남원시,육계,2021-06-24,"2동 3,614.34㎡",62772,X
14,336,동물복지-10-30-1-3,보광농원,경기도안성시,산란계,2021-06-24,"4동 3,024㎡",26400,X
15,335,동물복지-14-06-3-7,시후농장,전라북도김제시,육계,2021-06-24,"3동 3,870㎡",66765,X
16,334,동물복지-14-14-3-44,대동농장,전라북도부안군,육계,2021-06-24,"4동 5,622.6㎡",95292,X
17,333,동물복지-14-14-3-43,산돌농원2,전라북도부안군,육계,2021-06-24,"2동 3,310.2㎡",57578,X
18,332,동물복지-14-14-3-42,산돌농원1,전라북도부안군,육계,2021-06-24,"2동 3,310.2㎡",57172,X
19,331,동물복지-14-14-3-41,은성농장,전라북도부안군,육계,2021-06-24,"2동 3,008㎡",52394,X
20,330,동물복지-14-12-3-1,찬누리농장,전라북도순창군,육계,2021-06-21,"2동 1,957㎡",34298,X
21,329,동물복지-15-18-3-3,창조농장,전라남도영광군,육계,2021-06-21,"4동 7,776㎡",134862,X
22,328,동물복지-14-04-3-17,영원농장,전라북도정읍시,육계,2021-06-21,"3동 3,136.5㎡",53745,X
23,327,동물복지-11-15-1-4,에덴농장,강원도양구군,산란계,2021-06-18,2동 576.41㎡,3000,O
24,326,동물복지-14-08-3-13,양귀자양계농장,전라북도진안군,육계,2021-06-18,"2동 1,995.86㎡",34575,X
25,325,동물복지-14-08-3-12,김정길양계농장,전라북도진안군,육계,2021-06-18,"2동 1,995.86㎡",34575,X
26,324,동물복지-13-01-1-6,연암대학교,충청남도천안시,산란계,2021-06-03,"1동 1,102.5㎡",18000,X
27,323,동물복지-13-01-1-5,알로큰농장,충청남도천안시,산란계,2021-06-02,2동 792㎡,6800,X
28,322,동물복지-17-18-3-4,영각농원2,경상남도함양군,육계,2021-05-25,"2동 3,045.72㎡",53224,X
29,321,동물복지-15-14-3-1,참조은농장,전라남도해남군,육계,2021-05-25,"3동 5,153.36㎡",89536,X
30,320,동물복지-15-18-3-2,백삼프로농장,전라남도영광군,육계,2021-05-25,"3동 3,697.55㎡",70250,X
31,319,동물복지-14-08-3-11,대윤2농장,전라북도진안군,육계,2021-05-25,"2동 3,140㎡",56930,X
32,318,동물복지-14-04-3-16,만화농장2,전라북도정읍시,육계,2021-05-25,"2동 3,329.28㎡",59887,X
33,317,동물복지-14-06-3-6,경은농장,전라북도김제시,육계,2021-05-25,"3동 3,960㎡",68118,
34,316,동물복지-10-23-1-5,송운농장,경기도여주시,산란계,2021-05-10,"2동 1,584㎡",10000,X
35,315,동물복지-14-14-3-40,정영농장,전라북도부안군,육계,2021-05-10,"4동 5,556㎡",93488,X
36,314,동물복지-14-14-3-39,유림농장,전라북도부안군,육계,2021-05-10,"2동 2,807.4㎡",49194,X
37,313,동물복지-14-14-3-38,유정농장,전라북도부안군,육계,2021-05-10,"2동 2,807.4㎡",49194,X
38,312,동물복지-15-04-6-1,난희목장,전라남도나주시,젖소,2021-05-10,"3동 2,033.47㎡",92,X
39,311,동물복지-18-01-6-3,아침미소목장,제주특별자치도제주시 첨단동,젖소,2021-05-10,"6동 1,092.66㎡",75,O
40,310,동물복지-18-01-6-2,다인목장영농조합법인,제주특별자치도제주시 조천읍,젖소,2021-04-19,"7동 10,017.12㎡",400,X
41,309,동물복지-14-14-3-37,에덴농장,전라북도부안군,육계,2021-04-27,"3동 4,359.33㎡",76533,X
42,308,동물복지-14-14-3-36,가온농장,전라북도부안군,육계,2021-04-27,"4동 6,165.12㎡",107792,X
43,307,동물복지-17-17-1-2,산청서강농장,경상남도산청군,산란계,2021-04-19,2동 633.6㎡,4000,O
44,306,동물복지-14-05-3-9,지리농장,전라북도남원시,육계,2021-04-21,"3동 3,965.25㎡",68793,X
45,305,동물복지-14-04-3-15,경임농장,전라북도정읍시,육계,2021-04-21,"2동 2,404.8㎡",40447,X
46,304,동물복지-14-04-3-14,선임농장,전라북도정읍시,육계,2021-04-21,"4동 4,700㎡",79172,X
47,303,동물복지-14-11-3-4,부활농장,전라북도임실군,육계,2021-04-21,"3동 3,954.5㎡",70739,X
48,302,동물복지-18-01-6-1,건준목장,제주특별자치도제주시 조천읍,젖소,2021-04-06,"2동 2,664.6㎡",159,O
